skill_id,domain,construct_id,color,title_de,title_en,description_de,description_en
B1.1,B,B1.1,indigo,Zehner und Einer erkennen,Recognizing tens and ones,Das Kind erkennt in einer zweistelligen Zahl die Zehner und die Einer und benennt ihre Anzahl. Es verbindet die geschriebene Zahl sicher mit ihrer Zusammensetzung aus Zehner- und Eineranteil.,The child recognizes the tens and the ones in a two-digit number and names how many there are. It reliably links the written number to its composition of tens and ones.
B1.2,B,B1.2,indigo,Einzelstücke zu Zehnern bündeln,Bundling single objects into tens,Das Kind fasst einzelne Objekte zu Zehnern zusammen und liest aus der Anzahl der Bündel und der übrig bleibenden Stücke die dargestellte Zahl ab. Das Bündeln wird als Veranschaulichung des Stellenwerts genutzt.,The child groups single objects into tens and reads the number shown from the count of bundles and remaining pieces. Bundling is used as a concrete illustration of place value.
B1.3,B,B1.3,indigo,Einen Zehner in Einer tauschen,Exchanging one ten for ones,"Das Kind tauscht einen Zehner gegen zehn Einer und stellt damit eine Zahl in aufgelöster Form dar. Das Entbündeln gelingt auch dann, wenn die Darstellung der Zahl anschließend neu zusammengesetzt werden muss.",The child exchanges one ten for ten ones and represents a number in unbundled form. The unbundling also works when the number's representation must then be reassembled.
B2.1,B,B2.1,indigo,Zahlen in der Stellenwerttafel darstellen,Representing numbers in a place-value table,"Das Kind schreibt Zahlen in der Stellenwerttafel und in der Standardform und liest sie aus der Tafel richtig ab. Die Zuordnung von Ziffern zu Zehner- und Einerspalte gelingt sicher, auch wenn eine Spalte leer bleibt.","The child writes numbers in the place-value table and in standard form and reads them back correctly. Assigning digits to the tens and ones columns works reliably, even when one column stays empty."
B2.2,B,B2.2,indigo,Zahlen am Zahlenstrahl verorten,Placing numbers on the number line,"Das Kind trägt Zahlen auf dem Zahlenstrahl ein und entnimmt ihnen ihre Lage im Zahlenraum. Es nutzt den Strahl als strukturiertes Modell, um Abstände und Anordnungen von Zahlen abzulesen.",The child places numbers on the number line and reads off their position in the number range. It uses the line as a structured model to read distances and the order of numbers.
B2.3,B,B2.3,indigo,Zahlen in ungewohnter Schreibweise lesen,Reading numbers in non-standard notation,"Das Kind liest Zahlen in nicht-standardisierter Schreibweise wie „1 Z + 14 E"" und erkennt, dass dieselbe Zahl auf verschiedene Weisen gebündelt sein kann. Es überführt solche Darstellungen sicher in die Standardform.","The child reads numbers written in a non-standard way, such as one ten plus fourteen ones, and recognizes that the same number can be bundled in different ways. It converts such representations reliably into standard form."
C1.1a,C,C1.1,emerald,Additionsaufgaben bis 10 sicher lösen,Solving addition facts to 10 reliably,"Das Kind ruft Additionsaufgaben bis zehn ohne Zehnerübergang direkt ab und nennt das Ergebnis, ohne nachzuzählen. Die Aufgaben sind als gespeicherte Zahlfakten verfügbar.",The child retrieves addition facts up to ten without crossing a ten directly and states the result without counting on. These tasks are available as stored number facts.
C1.1b,C,C1.1,emerald,Subtraktionsaufgaben bis 10 sicher lösen,Solving subtraction facts to 10 reliably,Das Kind ruft Subtraktionsaufgaben bis zehn direkt aus dem Gedächtnis ab und nennt das Ergebnis ohne nachzuzählen. Umkehraufgaben zur Addition werden dabei als Verbindung genutzt.,The child recalls subtraction facts up to ten directly from memory and states the result without counting back. Inverse tasks to addition are used as a connection.
C1.2,C,C1.2,emerald,Verdopplungsaufgaben sicher beherrschen,Mastering doubling facts,Das Kind beherrscht die Verdopplungsaufgaben im Zahlenraum bis zehn sicher und ruft die Ergebnisse automatisiert ab. Doppelte Mengen werden unmittelbar als solche erkannt.,The child masters doubling facts up to ten and recalls the results automatically. Double quantities are recognized immediately as such.
C1.3,C,C1.3,emerald,Halbierungsaufgaben sicher beherrschen,Mastering halving facts,Das Kind beherrscht die Halbierungen im Zahlenraum bis zehn und nutzt sie als Umkehrung der Verdopplungsaufgaben. Zu einer Zahl nennt es zuverlässig ihre Hälfte.,The child masters halving within ten and uses it as the inverse of doubling facts. For a given number it reliably states its half.
C2.1,C,C2.1,emerald,Addieren mit Zehnerübergang über Zerlegen,Adding across ten by decomposing,"Das Kind löst Additionsaufgaben mit Zehnerübergang, indem es einen Summanden zerlegt und über den Zwischenschritt zur vollen Zehn gelangt. Das Teilschrittverfahren wird dabei bewusst als Weg gewählt.",The child solves addition tasks with a tens boundary by decomposing one addend and reaching a full ten as an intermediate step. The step-by-step procedure is chosen deliberately.
C2.2,C,C2.2,emerald,Verdopplungen als Stützaufgaben nutzen,Using doubles as anchor tasks,Das Kind nutzt bekannte Verdopplungen und Halbierungen als Stützpunkte für Aufgaben mit Zehnerübergang. Von der Verdopplungsaufgabe aus leitet es das Ergebnis der Nachbaraufgabe sicher ab.,The child uses known doubles and halves as anchor points for tasks that cross a ten. From the double it derives the result of the neighbouring task reliably.
C2.3,C,C2.3,emerald,Subtrahieren durch Ergänzen,Subtracting by adding on,"Das Kind löst Subtraktionsaufgaben mit Zehnerübergang, indem es von der kleineren Zahl aus bis zum Ergebnis ergänzt. Es verzichtet dabei auf das mühsame rückwärts Zählen.",The child solves subtraction tasks across a ten by adding on from the smaller number to reach the result. It avoids laborious counting backward.
C3.1a,C,C3.1,emerald,Im Hunderterraum stellenweise addieren,Adding place-wise in the hundreds range,"Das Kind addiert im Hunderterraum, indem es Zehner und Einer getrennt bearbeitet und die Teilergebnisse zusammenführt. Auch Aufgaben mit Übertrag gelingen über diesen Weg.",The child adds in the hundreds range by working on the tens and ones separately and combining the partial results. Tasks with a carry also work this way.
C3.1b,C,C3.1,emerald,Im Hunderterraum stellenweise subtrahieren,Subtracting place-wise in the hundreds range,"Das Kind subtrahiert im Hunderterraum, indem es Zehner und Einer getrennt behandelt. Bei Aufgaben mit Zehnerunterschreitung borgt es einen Zehner und führt die Subtraktion zu Ende.",The child subtracts in the hundreds range by handling tens and ones separately. For tasks that cross a ten it borrows one ten and completes the subtraction.
C3.2,C,C3.2,emerald,Im Hunderterraum in Schritten rechnen,Calculating step by step in the hundreds range,Das Kind rechnet im Hunderterraum in mehreren Schritten und nutzt dabei den nächsten vollen Zehner als Zwischenziel. Das Auffüllen auf den Zehner erleichtert auch schwierige Aufgaben.,"The child calculates in the hundreds range in several steps, using the next full ten as an intermediate target. Filling up to a ten also makes difficult tasks easier."
C3.3,C,C3.3,emerald,Mit Hilfsaufgaben rechnen,Calculating with supporting tasks,"Das Kind nutzt bekannte Nachbar- und Ergänzungsaufgaben, um schwierige Aufgaben im Hunderterraum zu stützen. Vom Ergebnis der Hilfsaufgabe gelangt es über eine kleine Korrektur zum gesuchten Ergebnis.",The child uses known neighbour and complement tasks to support difficult calculations in the hundreds range. From the supporting task's result it reaches the answer through a small correction.
C3.4a,C,C3.4,emerald,Im Hunderterraum zerlegen und addieren,Decomposing and adding in the hundreds range,"Das Kind zerlegt Zahlen im Hunderterraum in rechnerisch günstige Teile, etwa in eine Verdopplung und eine kleine Korrektur. Aus den Teilschritten setzt es das Ergebnis sicher zusammen.","The child splits numbers in the hundreds range into computationally convenient parts, such as a double plus a small correction. It assembles the result reliably from the partial steps."
C3.4b,C,C3.4,emerald,Im Hunderterraum zerlegen und subtrahieren,Decomposing and subtracting in the hundreds range,"Das Kind zerlegt bei Subtraktionsaufgaben im Hunderterraum den Subtrahenden in günstige Teile und subtrahiert schrittweise. Das Zerlegen erleichtert besonders Aufgaben, die eine Zehnergrenze überschreiten.",The child splits the subtrahend into convenient parts for subtraction tasks in the hundreds range and subtracts step by step. Decomposing especially helps tasks that cross a tens boundary.
C4.1,C,C4.1,emerald,Rechenstrategien bewusst auswählen,Choosing calculation strategies deliberately,"Das Kind wählt die Rechenstrategie passend zu den gegebenen Zahlen und wechselt zwischen Verfahren, wenn das die Aufgabe erleichtert. Es begründet die gewählte Vorgehensweise.",The child chooses the calculation strategy to fit the given numbers and switches between procedures when that makes the task easier. It explains the approach it has chosen.
C4.2,C,C4.2,emerald,Umkehraufgaben zur Kontrolle nutzen,Using inverse tasks for checking,"Das Kind nutzt die Umkehrbeziehung von Addition und Subtraktion, um Aufgaben zu vereinfachen oder Ergebnisse zu prüfen. Aus einer Plusaufgabe bildet es die zugehörige Minusaufgabe und umgekehrt.",The child uses the inverse relationship of addition and subtraction to simplify tasks or check results. From an addition it forms the matching subtraction and vice versa.
D1.1,D,D1.1,violet,Sachsituationen mathematisch erfassen,Understanding story situations mathematically,"Das Kind entnimmt einer Sachsituation die relevanten Zahlen und die passende Operation und stellt die Situation als Rechenaufgabe dar. Es erkennt, welcher Teil der Geschichte für die Rechnung entscheidend ist.",The child extracts the relevant numbers and the right operation from a story situation and expresses it as a calculation. It recognizes which part of the story matters for the calculation.
D1.2,D,D1.2,violet,Die passende Rechenoperation erkennen,Recognizing the required operation,"Das Kind erkennt in einer Sachsituation, welche Rechenoperation gefordert ist, und führt die zugehörige Rechnung aus. Es begründet die Wahl der Operation mit der Situation.",The child recognizes which operation a story situation requires and carries out the corresponding calculation. It justifies the choice of operation by the situation.
