ListNumber,Block,TaskCode,Zahlenraum,SourceType,QuestionText,AnswerFormat,CorrectAnswer,German,English,IfWrong_practice_skills,Ifwrong_skip,Notes,PairId
46,2_Zahldarstellung,2i_Diktat,ZR100,Audio,audio_dictation_80.mp3,Single,80,"Schreibe die Zahl auf, die du hörst!","Write down the number you hear",place_value_4,,Number dictation 80 (zero/null),
47,3_Operationen,3a_StoryStatisch,ZR10,Text,"Peter hat 5 Karten. Tom hat 3 Karten. Wie viele haben sie zusammen?",MultipleChoice,5+3,"Welche Rechnung passt? Peter hat 5 Karten, Tom hat 3 Karten. Wie viele zusammen?","Which equation fits? Peter has 5 cards, Tom has 3. How many together?",operation_sense_add operation_sense_story,,Story statisch zusammenfassen (3a),
48,3_Operationen,3b_StoryWegnehmen,ZR10,Text,"Paula hat 8 Karten. Sie gibt 3 ab. Wie viele bleiben?",MultipleChoice,8-3,"Welche Rechnung passt? Paula hat 8 Karten, gibt 3 ab. Wie viele bleiben?","Which equation fits? Paula has 8 cards, gives 3 away. How many left?",operation_sense_sub operation_sense_story,,Story dynamisch wegnehmen (3b),
49,3_Operationen,3c_StoryUnterschied,ZR10,Text,"Kevin hat 3, Evelyn hat 7. Wie viele muss Kevin dazubekommen, damit er gleich viele hat?",MultipleChoice,"3+_=7 or 7-3","Welche Rechnung passt? Kevin hat 3, Evelyn hat 7. Wie viele muss Kevin dazubekommen?","Which equation fits? Kevin has 3, Evelyn has 7. How many more does Kevin need?",operation_sense_sub operation_sense_story,,Story Unterschied (3c) — accept either form,
50,3_Operationen,3e_PlaettchenLoesen,ZR10,Image,plaettchen_8_minus_2.png,Single,6,"Löse die Aufgabe 8 - 2 mit den abgebildeten Plättchen.","Solve 8 - 2 with the shown counters",operation_sense_sub representation_2,,Solve 8-2 with image of counters,
51,3_Operationen,3f_PlaettchenInterpret,ZR10,Image,plaettchen_3_plus_4_gap.png,MultipleChoice,3+4,"Welche Aufgabe könnte hier dargestellt sein? (3 Plättchen, Lücke, 4 Plättchen)","Which equation could this represent?",operation_sense_add representation_2,,Plättchen image → equation,
52,3_Operationen,3f_PlaettchenInterpret,ZR10,Image,plaettchen_6_minus_3.png,MultipleChoice,6-3,"Welche Aufgabe könnte hier dargestellt sein? (6 Plättchen, 3 weggeschoben)","Which equation could this represent?",operation_sense_sub representation_2,,Plättchen subtraction image,
53,3_Operationen,3g_Unterschied,ZR10,Text,Unterschied zwischen 8 und 5,Single,3,"Wie viel ist der Unterschied zwischen 8 und 5?","What is the difference between 8 and 5?",operation_sense_sub basic_strategy_4,,Difference 8-5,
54,3_Operationen,3h_RR_ohne_UE,ZR10,Text,4 + 5,Single,9,"Löse die Aufgabe 4 + 5 (am Rechenrahmen).","Solve 4 + 5 (on calc rack)",basic_strategy_2,,Addition ohne Übergang ZR10,
55,3_Operationen,3h_RR_ohne_UE,ZR10,Text,7 - 4,Single,3,"Löse die Aufgabe 7 - 4 (am Rechenrahmen).","Solve 7 - 4 (on calc rack)",basic_strategy_2,,Subtraktion ohne Übergang ZR10,
56,3_Operationen,3h_RR_ohne_UE,ZR100,Text,43 + 6,Single,49,"Löse die Aufgabe 43 + 6.","Solve 43 + 6",basic_strategy_21,,Addition ohne Übergang ZR100,
57,3_Operationen,3h_RR_ohne_UE,ZR100,Text,38 - 6,Single,32,"Löse die Aufgabe 38 - 6.","Solve 38 - 6",basic_strategy_21,,Subtraktion ohne Übergang ZR100,
58,3_Operationen,3j_RR_mit_UE,ZR20,Text,7 + 8,Single,15,"Löse die Aufgabe 7 + 8.","Solve 7 + 8",combined_strategy_1 combined_strategy_4 combined_strategy_6,,Addition mit Zehnerübergang ZR20 (critical),
59,3_Operationen,3j_RR_mit_UE,ZR20,Text,14 - 9,Single,5,"Löse die Aufgabe 14 - 9.","Solve 14 - 9",combined_strategy_6 combined_strategy_8,,Subtraktion mit Zehnerübergang ZR20 (critical),
60,3_Operationen,3j_RR_mit_UE,ZR100,Text,28 + 6,Single,34,"Löse die Aufgabe 28 + 6.","Solve 28 + 6",combined_strategy_12,,Addition mit Übergang ZR100,
61,3_Operationen,3j_RR_mit_UE,ZR100,Text,43 - 7,Single,36,"Löse die Aufgabe 43 - 7.","Solve 43 - 7",combined_strategy_14,,Subtraktion mit Übergang ZR100,
62,3_Operationen,3l_ZS_ohne_UE,ZR100,Text,52 - 20,Single,32,"Löse die Aufgabe 52 - 20.","Solve 52 - 20",basic_strategy_11 combined_strategy_5,,Reine Zehner subtraction,
63,3_Operationen,3l_ZS_ohne_UE,ZR100,Text,23 + 30,Single,53,"Löse die Aufgabe 23 + 30.","Solve 23 + 30",basic_strategy_11 combined_strategy_5,,Zweistellig plus reine Zehner,
64,3_Operationen,3n_ZS_mit_UE,ZR100,Text,47 + 6,Single,53,"Löse die Aufgabe 47 + 6.","Solve 47 + 6",combined_strategy_12,,Addition mit Übergang ZR100,
65,3_Operationen,3n_ZS_mit_UE,ZR100,Text,32 - 6,Single,26,"Löse die Aufgabe 32 - 6.","Solve 32 - 6",combined_strategy_14,,Subtraktion mit Übergang ZR100,
66,4_Grundaufgaben,4a_Einspluseins,ZR10,Text,5 + 5,Single,10,"Wie viel ist 5 + 5?","What is 5 + 5?",basic_strategy_8 decomposition_3,,Double 5 (anchor),
67,4_Grundaufgaben,4a_Einspluseins,ZR10,Text,1 + 9,Single,10,"Wie viel ist 1 + 9?","What is 1 + 9?",decomposition_3,,Decomposition of 10,
68,4_Grundaufgaben,4a_Einspluseins,ZR10,Text,3 + 7,Single,10,"Wie viel ist 3 + 7?","What is 3 + 7?",decomposition_3,,Decomposition of 10,
69,4_Grundaufgaben,4a_Einspluseins,ZR10,Text,4 + 3,Single,7,"Wie viel ist 4 + 3?","What is 4 + 3?",basic_strategy_2,,Einspluseins (no decomp),
70,4_Grundaufgaben,4a_Einspluseins,ZR10,Text,2 + 6,Single,8,"Wie viel ist 2 + 6?","What is 2 + 6?",basic_strategy_2,,Einspluseins (no decomp),
71,4_Grundaufgaben,4b_Einsminuseins,ZR10,Text,10 - 5,Single,5,"Wie viel ist 10 - 5?","What is 10 - 5?",decomposition_3 basic_strategy_12,,Halve 10 / decomposition,
72,4_Grundaufgaben,4b_Einsminuseins,ZR10,Text,10 - 9,Single,1,"Wie viel ist 10 - 9?","What is 10 - 9?",decomposition_3,,Decomposition of 10,
73,4_Grundaufgaben,4b_Einsminuseins,ZR10,Text,10 - 7,Single,3,"Wie viel ist 10 - 7?","What is 10 - 7?",decomposition_3,,Decomposition of 10,
74,4_Grundaufgaben,4b_Einsminuseins,ZR10,Text,7 - 4,Single,3,"Wie viel ist 7 - 4?","What is 7 - 4?",basic_strategy_2,,Subtraction ZR10,
75,4_Grundaufgaben,4b_Einsminuseins,ZR10,Text,8 - 6,Single,2,"Wie viel ist 8 - 6?","What is 8 - 6?",basic_strategy_2,,Subtraction ZR10,
76,4_Grundaufgaben,4c_Doppelte,ZR10,Text,Doppelte von 4,Single,8,"Was ist das Doppelte von 4?","What is the double of 4?",basic_strategy_8,,Double 4,
77,4_Grundaufgaben,4c_Doppelte,ZR10,Text,Doppelte von 5,Single,10,"Was ist das Doppelte von 5?","What is the double of 5?",basic_strategy_8,,Double 5,
78,4_Grundaufgaben,4c_Doppelte,ZR20,Text,Doppelte von 7,Single,14,"Was ist das Doppelte von 7?","What is the double of 7?",basic_strategy_8 basic_strategy_9,,Double 7,
79,4_Grundaufgaben,4c_Doppelte,ZR20,Text,Doppelte von 9,Single,18,"Was ist das Doppelte von 9?","What is the double of 9?",basic_strategy_8 basic_strategy_9,,Double 9,
80,4_Grundaufgaben,4c_Doppelte,ZR20,Text,Doppelte von 10,Single,20,"Was ist das Doppelte von 10?","What is the double of 10?",basic_strategy_10,,Double 10 (decade),
81,4_Grundaufgaben,4d_Haelfte,ZR10,Text,Hälfte von 6,Single,3,"Was ist die Hälfte von 6?","What is half of 6?",basic_strategy_12,,Half 6,
82,4_Grundaufgaben,4d_Haelfte,ZR10,Text,Hälfte von 8,Single,4,"Was ist die Hälfte von 8?","What is half of 8?",basic_strategy_12,,Half 8,
83,4_Grundaufgaben,4d_Haelfte,ZR10,Text,Hälfte von 10,Single,5,"Was ist die Hälfte von 10?","What is half of 10?",basic_strategy_12,,Half 10,
84,4_Grundaufgaben,4d_Haelfte,ZR20,Text,Hälfte von 14,Single,7,"Was ist die Hälfte von 14?","What is half of 14?",basic_strategy_12 basic_strategy_13,,Half 14 (with crossing),
85,4_Grundaufgaben,4d_Haelfte,ZR20,Text,Hälfte von 18,Single,9,"Was ist die Hälfte von 18?","What is half of 18?",basic_strategy_12,,Half 18,
86,4_Grundaufgaben,4d_Haelfte,ZR20,Text,Hälfte von 20,Single,10,"Was ist die Hälfte von 20?","What is half of 20?",basic_strategy_14,,Half 20 (decade),
87,4_Grundaufgaben,4e_FehltBis10,ZR10,Text,Von 5 bis 10,Single,5,"Wie viel fehlt von 5 bis 10?","How many missing from 5 to 10?",decomposition_3 decomposition_15,,Complement to 10,
88,4_Grundaufgaben,4e_FehltBis10,ZR10,Text,Von 9 bis 10,Single,1,"Wie viel fehlt von 9 bis 10?","How many missing from 9 to 10?",decomposition_3 decomposition_15,,Complement to 10,
89,4_Grundaufgaben,4e_FehltBis10,ZR10,Text,Von 7 bis 10,Single,3,"Wie viel fehlt von 7 bis 10?","How many missing from 7 to 10?",decomposition_3 decomposition_15,,Complement to 10,
90,4_Grundaufgaben,4e_FehltBis10,ZR10,Text,Von 4 bis 10,Single,6,"Wie viel fehlt von 4 bis 10?","How many missing from 4 to 10?",decomposition_3 decomposition_15,,Complement to 10,
91,4_Grundaufgaben,4e_FehltBis10,ZR10,Text,Von 6 bis 10,Single,4,"Wie viel fehlt von 6 bis 10?","How many missing from 6 to 10?",decomposition_3 decomposition_15,,Complement to 10,
92,4_Grundaufgaben,4f_FehltBis8,ZR10,Text,Von 3 bis 8,Single,5,"Wie viel fehlt von 3 bis 8?","How many missing from 3 to 8?",decomposition_1 decomposition_5,,Complement to non-10 target,
93,4_Grundaufgaben,4f_FehltBis8,ZR10,Text,Von 7 bis 8,Single,1,"Wie viel fehlt von 7 bis 8?","How many missing from 7 to 8?",decomposition_1 decomposition_5,,Complement to non-10 target,
94,4_Grundaufgaben,4f_FehltBis8,ZR10,Text,Von 4 bis 8,Single,4,"Wie viel fehlt von 4 bis 8?","How many missing from 4 to 8?",decomposition_1 decomposition_5,,Complement to non-10 target,
95,4_Grundaufgaben,4f_FehltBis8,ZR10,Text,Von 2 bis 8,Single,6,"Wie viel fehlt von 2 bis 8?","How many missing from 2 to 8?",decomposition_1 decomposition_5,,Complement to non-10 target,
96,5_Buendeln,5a_Buendeln,ZR100,Image,wuerfel_23.png,Single,23,"Wie viele Würfel sind das?","How many cubes are these?",place_value_1 counting_1,,Count unstructured cubes,
97,5_Buendeln,5a_Buendeln_zehner,ZR100,Image,wuerfel_23.png,Single,2,"Wie viele Zehner stecken in der Zahl?","How many tens are in this number?",place_value_1 place_value_5,,Identify tens count in 23,
98,5_Buendeln,5b_Entbuendeln,ZR100,Image,steckwuerfel_3zehner_minus1.png,Single,29,"Hier sind 3 Zehnerstangen. Wenn man einen Würfel wegnimmt, wie viele Würfel sind es dann?","Three ten-rods. Remove one cube — how many cubes now?",place_value_1,,Entbündeln by 1,
99,5_Buendeln,5b_Entbuendeln_zehner,ZR100,Image,steckwuerfel_3zehner_minus1.png,Single,2,"Und wie viele ganze Zehner sind es nach dem Wegnehmen?","How many complete tens are left after removing 1 cube?",place_value_1,,Entbündeln tens count,
100,6_Stellenwerte,6a_MaterialZuZahl,ZR100,Image,zs_5z3e.png,Single,53,"Schreibe die dargestellte Zahl auf (5 Zehnerstangen, 3 Einer).","Write the number shown (5 tens, 3 ones)",place_value_2 place_value_4,,Material → Zahl (gebündelt),
101,6_Stellenwerte,6a_MaterialZuZahl,ZR100,Image,zs_3z.png,Single,30,"Schreibe die dargestellte Zahl auf (3 Zehnerstangen).","Write the number shown (3 tens)",place_value_2 place_value_4,,Material → Zahl (Zehnerstellen only),
102,6_Stellenwerte,6a_star_MaterialNichtGebuendelt,ZR100,Image,zs_3z12e.png,Single,42,"Schreibe die dargestellte Zahl auf (3 Zehnerstangen und 12 Einer).","Write the number shown (3 tens and 12 ones — not fully bundled)",place_value_1 place_value_2,,KEY: Non-bundled — tests fortgesetzte Bündelung,
103,6_Stellenwerte,6b_ZahlZuMaterial,ZR100,Text,54,MultipleChoice,5Z4E,"Welches Bild zeigt die Zahl 54?","Which image shows the number 54?",place_value_2 place_value_3,,Zahl → Material 54,
104,6_Stellenwerte,6b_ZahlZuMaterial,ZR100,Text,37,MultipleChoice,3Z7E,"Welches Bild zeigt die Zahl 37?","Which image shows the number 37?",place_value_2 place_value_3,,Zahl → Material 37,
105,6_Stellenwerte,6b_ZahlZuMaterial,ZR100,Text,40,MultipleChoice,4Z0E,"Welches Bild zeigt die Zahl 40?","Which image shows the number 40?",place_value_2 place_value_3,,Zahl → Material 40 (null role),
106,6_Stellenwerte,6b_ZahlZuMaterial,ZR100,Text,22,MultipleChoice,2Z2E,"Welches Bild zeigt die Zahl 22?","Which image shows the number 22?",place_value_2 place_value_3,,Zahl → Material 22 (Paschzahl),
107,7_Aufgabenzusammenhang,7a_Umkehr_helper,ZR10,Text,5 + 4,Single,9,"Wie viel ist 5 + 4?","What is 5 + 4?",basic_strategy_2,,Umkehraufgabe helper,P7a
108,7_Aufgabenzusammenhang,7a_Umkehr_target,ZR10,Text,9 - 4,Single,5,"Wie viel ist 9 - 4?","What is 9 - 4?",basic_strategy_2 combined_strategy_5,,Umkehraufgabe target (compare RT vs helper),P7a
109,7_Aufgabenzusammenhang,7b_Tausch_helper,ZR10,Text,9 + 3,Single,12,"Wie viel ist 9 + 3?","What is 9 + 3?",basic_strategy_19,,Tauschaufgabe helper,P7b
110,7_Aufgabenzusammenhang,7b_Tausch_target,ZR10,Text,3 + 9,Single,12,"Wie viel ist 3 + 9?","What is 3 + 9?",basic_strategy_19,,Tauschaufgabe target (RT should drop sharply),P7b
111,7_Aufgabenzusammenhang,7c_Nachbar_helper,ZR20,Text,7 + 5,Single,12,"Wie viel ist 7 + 5?","What is 7 + 5?",combined_strategy_1,,Nachbaraufgabe helper,P7c
112,7_Aufgabenzusammenhang,7c_Nachbar_target,ZR20,Text,7 + 6,Single,13,"Wie viel ist 7 + 6?","What is 7 + 6?",combined_strategy_1,,Nachbaraufgabe target,P7c
113,7_Aufgabenzusammenhang,7c_Nachbar_helper_sub,ZR20,Text,14 - 7,Single,7,"Wie viel ist 14 - 7?","What is 14 - 7?",combined_strategy_2,,Nachbaraufgabe helper (sub),P7c2
114,7_Aufgabenzusammenhang,7c_Nachbar_target_sub,ZR20,Text,14 - 8,Single,6,"Wie viel ist 14 - 8?","What is 14 - 8?",combined_strategy_2,,Nachbaraufgabe target (sub),P7c2
115,7_Aufgabenzusammenhang,7d_Analogie_helper,ZR10,Text,3 + 5,Single,8,"Wie viel ist 3 + 5?","What is 3 + 5?",basic_strategy_2,,Analogie anchor,P7d
116,7_Aufgabenzusammenhang,7d_Analogie_zehner,ZR100,Text,30 + 50,Single,80,"Wie viel ist 30 + 50?","What is 30 + 50?",basic_strategy_11 basic_strategy_23,,Analogie auf Zehner (Zehner-Analogie),P7d
117,7_Aufgabenzusammenhang,7d_Analogie_kombiniert,ZR100,Text,23 + 5,Single,28,"Wie viel ist 23 + 5?","What is 23 + 5?",basic_strategy_21 basic_strategy_23,,Analogie kombiniert,P7d
118,7_Aufgabenzusammenhang,7e_Analogie_sub_helper,ZR10,Text,7 - 4,Single,3,"Wie viel ist 7 - 4?","What is 7 - 4?",basic_strategy_2,,Analogie sub anchor,P7e
119,7_Aufgabenzusammenhang,7e_Analogie_sub_zehner,ZR100,Text,70 - 40,Single,30,"Wie viel ist 70 - 40?","What is 70 - 40?",basic_strategy_11 basic_strategy_23,,Analogie sub Zehner,P7e
120,7_Aufgabenzusammenhang,7e_Analogie_sub_kombiniert,ZR100,Text,27 - 4,Single,23,"Wie viel ist 27 - 4?","What is 27 - 4?",basic_strategy_21 basic_strategy_23,,Analogie sub kombiniert,P7e
121,7_Aufgabenzusammenhang,7f_TeilGanzes,ZR10,Text,"2+5=7. Wenn ein Plättchen verschoben wird, ändert sich die Gesamtzahl?",Single,nein,"Unter einem Tuch sind 2 Plättchen, unter einem anderen 5. Wenn ich ein Plättchen verschiebe — ändert sich die Gesamtzahl?","Two counters under one cloth, 5 under another. If I move one over — does the total change?",basic_strategy_6 combined_strategy_7,,Teil-Ganzes / Konstanz der Summe (concept),
122,7_Aufgabenzusammenhang,7g_KonstanzSumme,ZR20,Text,"7+5=12; 8+4=12; 9+3=12; was wäre 10+2?",Single,12,"Wenn 7+5=12, 8+4=12, 9+3=12 — was ist 10+2?","If 7+5=12, 8+4=12, 9+3=12 — what is 10+2?",combined_strategy_7,,Konstanz der Summe pattern,
123,7_Aufgabenzusammenhang,7h_KonstanzDifferenz,ZR20,Text,"7-5=2; 8-6=2; 9-7=2; was wäre 10-8?",Single,2,"Wenn 7-5=2, 8-6=2, 9-7=2 — was ist 10-8?","If 7-5=2, 8-6=2, 9-7=2 — what is 10-8?",combined_strategy_7,,Konstanz der Differenz pattern,
124,8_Zahlenblick,8a_AufgabenFinden10,ZR10,Text,"Welche Aufgaben haben Ergebnis 10?",Multiple,"3+7,5+5,1+9,6+4,2+8","Welche Aufgaben aus diesem Feld haben das Ergebnis 10? (Mehrfachauswahl: 3+7, 4+5, 5+5, 1+9, 6+4, 8+3, 2+8, 6+5)","Which equations result in 10?",decomposition_3 combined_strategy_11,,Aufgaben mit Ergebnis 10 (MC variant of 8a),
