ListNumber,SourceType,QuestionText,AnswerFormat,CorrectAnswer,German,English,IfWrong_practice,Ifwrong_skip
37,Image,img1859.jpg,Single,35,Wie viele sind es insgesamt?,How many are there?,"29, 30, 32",
38,Text,,Multiple,"9, 17, 54, 60, 71, 90","Schreibe bitte die Zahlen auf, die ich dir ansage! 9, 17, 54, 60, 71, 90","Write down the numbers that you hear! 9, 17, 54, 60, 71, 90","30,31,32",
39,Image,img1809.jpg,Single,100,Wie viele grüne Punkte siehst du?,How many red dots do you see?,"24, 26",
40,Image,img1810.jpg,Single,12,Wie viele rote Punkte siehst du?,How many red dots do you see?,"24, 26",
41,Image,img1811.jpg,Single,85,Wie viele rote Punkte siehst du?,How many red dots do you see?,"24, 26",
42,Image,img1812.jpg,Single,99,Wie viele rote Punkte siehst du?,How many red dots do you see?,"24, 26",
43,Text,5,Multiple,"5, 10, 15, 20, 25, 30, 35","Zähle in Fünfer Schritten von 5 aus weiter, bis ich ‚stopp‘ sage!",Count forward in steps of 5 ,"8, 9",
44,Text,10,Multiple,"10, 20, 30 ,40 ,50, 60, 70, 80, 90, 100","Zähle in Zehner Schritten von 10 aus weiter, bis ich ‚stopp‘ sage!",Count forward i steps of 10,"8, 9",
45,Text,42,Multiple,"42, 32, 22, 12, 2","Zähle in Zehner Schritten von 42 aus zurück, bis ich ‚stopp‘ sage!",Count backwards in steps of 10 from the number 42,"8, 9",
46,Image,img2152.jpg,Single,,Wie viele Würfelpunkte hast du mehr bzw. weniger als ich?,Your dice is the red one and mine is blue. How many more ,"35, 36, 37",
47,Text,1 + 5,Single,6,Eins plus 5 ist gleich was?,What is the answer to one plus 5?,"33, 34, 51, 52",
48,Text,5 + 4,Single,9,Fünf plus 4 ist gleich was?,What is the answer to 5 plus 4?,"33, 34, 50, 51",
49,Text,8 – 5,Single,3,Acht minus 5 ist gleich was?,What is the answer to eight minus 5?,"33, 34, 50, 51",
50,Text,5 + _ = 8,Single,3,Fünf plus was ist acht? Was muss in die Lücke?,What do I have to add to 5 to make eight? What needs to go in the gap?,"33, 34, 50, 51",
51,Text,_ + 2 = 7,Single,5,Was plus zwei ist sieben? Was muss in die Lücke?,What plus two is seven? What has to go in the gap?,"33, 34, 50, 51",
52,Text,10 + 3,Single,13,Was ist 10 + 3?,What is 10 + 3?,52,
53,Text,1 + 10,Single,9,Was ist 1 + 10?,What is 1 + 10?,52,
54,Text,10 – 7,Single,3,Was ist 10 – 7?,What is 10 - 7?,52,
55,Text,18 – 10,Single,8,Was ist 18 – 10?,What is 18 - 10?,52,
56,Text,20 + 3,Single,23,Was ist 20 + 3?,What is 20 + 3?,53,
57,Text,6 + 30,Single,36,Was ist 6 + 30?,What is 6 + 30?,53,
58,Text,78 – 8,Single,70,Was ist 78 – 8?,What is 78 - 8?,53,
59,Text,40 – 7,Single,33,Was ist 40 – 7?,What is 40 - 7?,53,
60,Text,3,Single,6,Was is das Doppelte von 3?,What is the double of 3?,"39, 40, 41",
61,Text,6,Single,12,Was is das Doppelte von 6?,What is the double of 6?,"39, 40, 41",
62,Text,8,Single,18,Was is das Doppelte von 8?,What is the double of 8?,"39, 40, 41",
63,Text,20,Single,40,Was is das Doppelte von 20?,What is the double of 20?,"42, 72",
64,Text,35,Single,70,Was is das Doppelte von 35?,What is the double of 35?,"42, 72",
65,Text,42,Single,84,Was is das Doppelte von 42?,What is the double of 42?,"42, 72",
66,Text,27,Single,54,Was is das Doppelte von 27?,What is the double of 27?,"42, 72",
67,Text,10,Single,5,Was is die Hälfte von 10?,What is half of 10?,"44, 45, 47",
68,Text,8,Single,4,Was is die Hälfte von 8?,What is half of 8?,"44, 45, 47",
69,Text,14,Single,7,Was is die Hälfte von 14?,What is half of 14?,"44, 45, 47",
70,Text,40,Single,20,Was is die Hälfte von 40?,What is half of 40?,"46, 73",
71,Text,70,Single,35,Was is die Hälfte von 70?,What is half of 70?,"46, 73",
72,Text,64,Single,32,Was is die Hälfte von 64?,What is half of 64?,"46, 73",
73,Text,58,Single,29,Was is die Hälfte von 58?,What is half of 58?,"46, 73",
74,Text,30 + 20,Single,50,Was ist 30 + 20?,What is 30 + 20?,43,
75,Text,40 + 30,Single,70,Was ist 40 + 30?,What is 40 + 30?,43,
76,Text,70 – 60,Single,10,Was ist 70 – 60?,What is 70 - 60?,43,
77,Text,100 – 20,Single,80,Was ist 100 -20?,What is 100 -20?,43,
78,Text,3 + 4,Single,7,Was ist 3 + 4?,What is 3 + 4?,"54, 55",
79,Text,13 + 4,Single,17,Was ist 13 + 4?,What is 13 + 4?,"54, 55",
80,Text,2 + 7,Single,9,Was ist 2 + 7?,What is 2 + 7?,"54, 55",
81,Text,2 + 97,Single,99,Was ist 2 + 97?,What is 2 + 97?,"54, 55",
82,Text,7 + 6,Single,13,Was ist 7 + 6?,What is 7 + 6?,"56, 57",
83,Text,15 – 7,Single,8,Was ist 15 – 7?,What is 15 - 7?,57,
84,Text,5 + 8,Single,13,Was ist 5 +8?,What is 5 +8?,"58, 59",
85,Text,12 – 5,Single,7,Was ist 12 – 5?,What is 12 - 5?,"58, 59",
86,Text,6 + 9,Single,15,Was ist 6 + 9?,What is 6 + 9?,"60, 61",
87,Text,7 + 11,Single,18,Was ist 7 + 11?,What is 7 + 11?,"60, 61",
88,Text,15 – 8,Single,7,Was ist 15 – 8?,What is 15 - 8?,"60, 61",
89,Text,27 + 8,Single,35,Was ist 27 + 8?,What is 27 + 8?,"66, 67",
90,Text,44 – 9,Single,35,Was ist 44 – 9?,What is 44 - 9?,"68, 69",
91,Text,55 + 38,Single,93,Was ist 55 + 38?,What is 55 + 38?,70,
92,Text,64 – 28,Single,38,Was ist 64 – 28?,What is 64 - 28?,71,
