skill_id,domain,construct_id,color,title_de,title_en,description_de,description_en
complete_to_10,A,complete_to,amber,Ergänzen bis 10,Complete to 10,Das Kind ergänzt eine gegebene Zahl sicher zu 10.,The child reliably completes a given number to 10.
complete_to_20,A,complete_to,amber,Ergänzen bis 20,Complete to 20,Das Kind ergänzt eine gegebene Zahl sicher zu 20.,The child reliably completes a given number to 20.
structured_quantity_recognition_zr10,A,structured_quantity_recognition,amber,Strukturiertes Sehen bis 10,Structured quantity recognition up to 10,"Das Kind erkennt strukturierte Mengen bis 10 auf einen Blick, ohne einzeln abzuzählen.","The child recognizes structured quantities up to 10 at a glance, without counting one by one."
quick_recognition_rechenschiffchen_zr20,A,quick_recognition,amber,Schnelles Sehen am Rechenschiffchen (ZR20),Quick recognition on the calculation boat (ZR20),Das Kind erkennt Mengen bis 20 am Rechenschiffchen schnell über die Fünferstruktur.,The child quickly recognizes quantities up to 20 on the calculation boat using its groups of five.
dot_field_full,A,dot_field,amber,Hunderterpunktefeld: volles Feld,100-dot field: full field (100),Das Kind erkennt ein volles Hunderterpunktefeld sofort als 100.,The child immediately recognizes a full hundred-dot field as 100.
dot_field_small,A,dot_field,amber,Hunderterpunktefeld: kleine Menge,100-dot field: small quantity (~12),Das Kind bestimmt eine kleine Menge (ca. 12) im Hunderterpunktefeld über die Zehnerstruktur.,The child determines a small quantity (about 12) on the hundred-dot field using its structure of tens.
dot_field_large,A,dot_field,amber,Hunderterpunktefeld: große Menge,100-dot field: large quantity (~85),Das Kind bestimmt eine große Menge (ca. 85) im Hunderterpunktefeld über die Zehnerstruktur.,The child determines a large quantity (about 85) on the hundred-dot field using its structure of tens.
dot_field_near_max,A,dot_field,amber,Hunderterpunktefeld: nahe 100,100-dot field: near the maximum (~99),"Das Kind bestimmt eine Menge nahe 100 im Hunderterpunktefeld, indem es die fehlenden Punkte mitdenkt.",The child determines a quantity near 100 on the hundred-dot field by reasoning about the missing dots.
bundling_recognition_zr100,B,bundling_recognition,indigo,Bündelungserkennung im ZR100,Bundling recognition within 100,Das Kind erkennt bei einer Dienes-Darstellung im ZR100 Zehnerbündel und Einer und bestimmt daraus die Zahl.,The child recognizes tens bundles and ones in a base-ten block display within 100 and derives the number from them.
number_word_dictation_zr100,B,number_word_dictation,indigo,Zahlen hören und schreiben (ZR100),Hear and write numbers within 100,Das Kind hört eine Zahl im ZR100 und schreibt sie richtig auf.,The child hears a number within 100 and writes it down correctly.
skip5_forward_zr100,A,skip5_forward,amber,Fünferschritte vorwärts im ZR100,Skip-count forward by 5 within 100,Das Kind zählt im ZR100 vorwärts in Fünferschritten.,The child counts forward in steps of five within 100.
skip5_backward_zr100,A,skip5_backward,amber,Fünferschritte rückwärts im ZR100,Skip-count backward by 5 within 100,Das Kind zählt im ZR100 rückwärts in Fünferschritten.,The child counts backward in steps of five within 100.
skip10_forward_zr100,A,skip10_forward,amber,Zehnerschritte vorwärts im ZR100,Skip-count forward by 10 within 100,Das Kind zählt im ZR100 vorwärts in Zehnerschritten.,The child counts forward in steps of ten within 100.
skip10_backward_zr100,A,skip10_backward,amber,Zehnerschritte rückwärts im ZR100,Skip-count backward by 10 within 100,Das Kind zählt im ZR100 rückwärts in Zehnerschritten.,The child counts backward in steps of ten within 100.
compare_quantity_difference,C,compare_quantity,emerald,Mengenunterschied vergleichen,Compare a quantity difference,Das Kind vergleicht zwei Mengen und bestimmt den Unterschied zwischen ihnen.,The child compares two quantities and determines the difference between them.
basic_fact_add_with_5,C,basic_fact_5,emerald,Kraft der 5: Addition,Power of 5: addition,"Das Kind nutzt die Kraft der 5, um eine Additionsaufgabe im ZR10 zu lösen.",The child uses the power of 5 to solve an addition task within 10.
basic_fact_sub_with_5,C,basic_fact_5,emerald,Kraft der 5: Subtraktion,Power of 5: subtraction,"Das Kind nutzt die Kraft der 5, um eine Subtraktionsaufgabe im ZR10 zu lösen.",The child uses the power of 5 to solve a subtraction task within 10.
complete_gap_end,C,complete_gap,emerald,Ergänzungsaufgabe: Lücke am Ende,Fill-in-the-blank: gap at the end (5+_=8),Das Kind löst eine Ergänzungsaufgabe mit Lücke am Ende (z. B. 5+_=8).,The child solves a fill-in-the-blank task with the gap at the end (e.g. 5+_=8).
complete_gap_start,C,complete_gap,emerald,Ergänzungsaufgabe: Lücke am Anfang,Fill-in-the-blank: gap at the start (_+2=7),Das Kind löst eine Ergänzungsaufgabe mit Lücke am Anfang (z. B. _+2=7).,The child solves a fill-in-the-blank task with the gap at the start (e.g. _+2=7).
double_zr10,C,double,emerald,Verdoppeln im ZR10,Doubling within 10,Das Kind verdoppelt eine Zahl im ZR10 sicher.,The child reliably doubles a number within 10.
double_zr10_to_zr20,C,double,emerald,Verdoppeln ZR10 nach ZR20 (ohne Übergang),Doubling ZR10 into ZR20 (no crossing),"Das Kind verdoppelt eine Zahl aus dem ZR10 in den ZR20, ohne einen Zehnerübergang zu benötigen.","The child doubles a number from within 10 into the 20-range, without needing to cross a ten."
double_crossing_10,C,double,emerald,Verdoppeln mit Zehnerübergang,Doubling that crosses the ten,Das Kind verdoppelt eine Zahl mit Zehnerübergang.,The child doubles a number that requires crossing a ten.
double_decade,C,double,emerald,Verdoppeln von Zehnerzahlen,Doubling decade numbers,Das Kind verdoppelt eine glatte Zehnerzahl im ZR100.,The child doubles a round decade number within 100.
double_2digit_nocarry,C,double,emerald,Verdoppeln zweistelliger Zahlen (ohne Übertrag),Doubling 2-digit numbers (no ones-carry),Das Kind verdoppelt eine zweistellige Zahl ohne Übertrag im Einerbereich (z. B. 42->84).,The child doubles a two-digit number without an ones-carry (e.g. 42->84).
double_2digit_with_carry,C,double,emerald,Verdoppeln zweistelliger Zahlen (mit Übertrag),Doubling 2-digit numbers (with ones-carry),Das Kind verdoppelt eine zweistellige Zahl mit Übertrag im Einerbereich (z. B. 35->70).,The child doubles a two-digit number with an ones-carry (e.g. 35->70).
halve_zr10,C,halve,emerald,Halbieren im ZR10,Halving within 10,Das Kind halbiert eine Zahl im ZR10 sicher.,The child reliably halves a number within 10.
halve_zr20_anchor,C,halve,emerald,Halbieren im ZR20 (Ankerzahl 10),Halving within 20 (anchor number 10),Das Kind halbiert eine Zahl im ZR20 über die Ankerzahl 10.,The child halves a number within 20 using 10 as an anchor number.
halve_zr20_crossing,C,halve,emerald,Halbieren im ZR20 (mit Bündelwechsel),Halving within 20 (crosses the bundle),Das Kind halbiert eine Zahl im ZR20 mit Bündelwechsel (z. B. 14->7).,The child halves a number within 20 that requires exchanging a bundle (e.g. 14->7).
halve_decade,C,halve,emerald,Halbieren von Zehnerzahlen,Halving decade numbers,Das Kind halbiert eine glatte Zehnerzahl (z. B. 40->20).,The child halves a round decade number (e.g. 40->20).
halve_2digit_clean,C,halve,emerald,Halbieren zweistelliger Zahlen (glatt),Halving 2-digit numbers (clean digit-wise),Das Kind halbiert eine zweistellige Zahl stellenweise ohne Zerlegung (z. B. 64->32).,The child halves a two-digit number digit-wise without decomposition (e.g. 64->32).
halve_2digit_needs_decomposition,C,halve,emerald,Halbieren zweistelliger Zahlen (mit Zerlegung),Halving 2-digit numbers (needs decomposition),"Das Kind halbiert eine zweistellige Zahl, die eine Zerlegung erfordert (z. B. 70->35 oder 58->29).",The child halves a two-digit number that requires decomposition (e.g. 70->35 or 58->29).
tens_add_tens,C,tens_add_sub,emerald,Zehnerzahl plus Zehnerzahl,Decade number plus decade number,Das Kind addiert zwei Zehnerzahlen.,The child adds two decade numbers.
tens_sub_tens,C,tens_add_sub,emerald,Zehnerzahl minus Zehnerzahl,Decade number minus decade number,Das Kind subtrahiert eine Zehnerzahl von einer anderen.,The child subtracts one decade number from another.
tens_sub_crossing_hundred,C,tens_add_sub,emerald,Zehnerzahl minus Zehnerzahl (Sprung über die 100),Decade number minus decade number (crosses toward 100),Das Kind subtrahiert zwei Zehnerzahlen mit Sprung über die 100 (z. B. 100-20).,The child subtracts two decade numbers with a jump across 100 (e.g. 100-20).
decade_analogy_add,C,decade_analogy,emerald,Zehner-Analogie: Addition,Decade analogy: addition,Das Kind überträgt eine bekannte Additionsaufgabe im ZR10 als Analogie auf den ZR20.,The child transfers a known addition fact within 10 as an analogy to the 20-range.
decade_analogy_add_crossing_hundred,C,decade_analogy,emerald,Zehner-Analogie: Addition über die Hundert,Decade analogy: addition crossing toward 100,"Das Kind überträgt eine bekannte Additionsaufgabe im ZR10 als Analogie auf eine Aufgabe, die über die 100 hinausgeht.",The child transfers a known addition fact within 10 as an analogy to a task crossing toward 100.
derive_via_near_double_add,C,derive_near_double,emerald,Ableiten über Nachbarverdopplung (Addition),Derive via near-doubling (addition),Das Kind leitet eine Additionsaufgabe über eine benachbarte Verdopplungsaufgabe ab.,The child derives an addition result via a neighbouring doubling fact.
derive_via_near_double_sub,C,derive_near_double,emerald,Ableiten über Nachbarverdopplung (Subtraktion),Derive via near-doubling (subtraction),Das Kind leitet eine Subtraktionsaufgabe über eine benachbarte Verdopplungsaufgabe ab.,The child derives a subtraction result via a neighbouring doubling fact.
derive_via_5_add,C,derive_5,emerald,Ableiten über die Kraft der 5 (Addition),Derive via power of 5 (addition),Das Kind leitet eine Additionsaufgabe über die Kraft der 5 ab.,The child derives an addition result via the power of 5.
derive_via_5_sub,C,derive_5,emerald,Ableiten über die Kraft der 5 (Subtraktion),Derive via power of 5 (subtraction),Das Kind leitet eine Subtraktionsaufgabe über die Kraft der 5 ab.,The child derives a subtraction result via the power of 5.
derive_via_10_add_minus1,C,derive_10,emerald,Ableiten über die Kraft der 10 (Addition,10-1-Muster),Das Kind löst eine Additionsaufgabe über die Kraft der 10 nach dem 10-1-Muster (z. B. 6+9).,The child solves an addition task via the power of 10 using the 10-minus-1 pattern (e.g. 6+9).
derive_via_10_add_plus1,C,derive_10,emerald,Ableiten über die Kraft der 10 (Addition,10+1-Muster),Das Kind löst eine Additionsaufgabe über die Kraft der 10 nach dem 10+1-Muster (z. B. 7+11).,The child solves an addition task via the power of 10 using the 10-plus-1 pattern (e.g. 7+11).
derive_via_10_sub,C,derive_10,emerald,Ableiten über die Kraft der 10 (Subtraktion),Derive via power of 10 (subtraction),Das Kind löst eine Subtraktionsaufgabe über die Kraft der 10 (z. B. 15-8).,The child solves a subtraction task via the power of 10 (e.g. 15-8).
cross_decade_add_zr100_1digit,C,cross_decade_add,emerald,Zehnerübergang ZR100: Addition (einstelliger Operand),Cross-decade addition within 100 (1-digit operand),"Das Kind addiert im ZR100 mit Zehnerübergang, wenn der zweite Summand einstellig ist (z. B. 27+8).",The child adds within 100 across a tens boundary when the second addend is a single digit (e.g. 27+8).
cross_decade_sub_zr100_1digit,C,cross_decade_sub,emerald,Zehnerübergang ZR100: Subtraktion (einstelliger Operand),Cross-decade subtraction within 100 (1-digit operand),"Das Kind subtrahiert im ZR100 mit Zehnerübergang, wenn der Subtrahend einstellig ist (z. B. 44-9).",The child subtracts within 100 across a tens boundary when the subtrahend is a single digit (e.g. 44-9).
cross_decade_add_zr100_2digit,C,cross_decade_add,emerald,Zehnerübergang ZR100: Addition (zweistelliger Operand),Cross-decade addition within 100 (2-digit operand),"Das Kind addiert im ZR100 mit Zehnerübergang, wenn beide Summanden zweistellig sind (z. B. 55+38).",The child adds within 100 across a tens boundary when both addends are two-digit (e.g. 55+38).
cross_decade_sub_zr100_2digit,C,cross_decade_sub,emerald,Zehnerübergang ZR100: Subtraktion (zweistelliger Operand),Cross-decade subtraction within 100 (2-digit operand),"Das Kind subtrahiert im ZR100 mit Zehnerübergang, wenn der Subtrahend zweistellig ist (z. B. 64-28).",The child subtracts within 100 across a tens boundary when the subtrahend is two-digit (e.g. 64-28).
place_on_numberline_zr20,A,place_on_numberline,amber,Zahlen auf dem Zahlenstrahl verorten (ZR20),Place numbers on a number line (ZR20),Das Kind platziert eine Zahl im ZR20 korrekt auf dem Zahlenstrahl.,The child correctly places a number within 20 on the number line.
place_on_numberline_zr100,A,place_on_numberline,amber,Zahlen auf dem Zahlenstrahl verorten (ZR100),Place numbers on a number line (ZR100),Das Kind platziert eine Zahl im ZR100 korrekt auf dem Zahlenstrahl.,The child correctly places a number within 100 on the number line.
structured_quantity_recognition_zr20,A,structured_quantity_recognition,amber,Strukturiertes Sehen bis 20,Structured quantity recognition up to 20,"Das Kind erkennt strukturierte Mengen bis 20 auf einen Blick, ohne einzeln abzuzählen.","The child recognizes structured quantities up to 20 at a glance, without counting one by one."
complete_to_100,A,complete_to,amber,Ergänzen bis 100,Complete to 100,Das Kind ergänzt eine gegebene Zahl sicher zu 100.,The child reliably completes a given number to 100.
hundred_chart_navigation,B,hundred_chart,indigo,Hundertertafel: Struktur nutzen,100-chart: use the row/column structure,Das Kind bestimmt eine fehlende Zahl auf der Hundertertafel über die Zeilen-/Spaltenstruktur.,The child determines a missing number on the hundred-chart using its row/column structure.
shift_plus_minus_1_2_zr10,C,shift_plus_minus,emerald,Um 1 oder 2 mehr/weniger,One or two more/fewer,"Das Kind bestimmt eine Zahl, die um 1 oder 2 größer oder kleiner als eine gegebene Zahl ist.",The child determines a number that is 1 or 2 more or fewer than a given number.
compensation_strategy_zr20,C,compensation_strategy,emerald,Gegensinniges Verändern,Compensation strategy (+1/-1 keeps the sum),"Das Kind nutzt gegensinniges Verändern (z. B. +1 bei einem Summanden, -1 beim anderen), um eine Aufgabe zu vereinfachen.","The child uses a compensation strategy (e.g. +1 on one addend, -1 on the other) to simplify a task."
even_odd_recognition,C,even_odd,emerald,Gerade und ungerade Zahlen,Even and odd numbers,"Das Kind erkennt, ob eine Zahl gerade oder ungerade ist.",The child recognizes whether a number is even or odd.
fingerblitz_quantity_zr10,C,fingerblitz,emerald,Fingerblitz: Mengen an Fingern erkennen,Fingerblitz: quick finger-quantity recognition,"Das Kind erkennt eine an den Fingern gezeigte Menge im ZR10 sofort, ohne einzeln nachzuzählen.","The child instantly recognizes a quantity shown on fingers within 10, without counting one by one."
equation_equivalence_zr20,C,equation_equivalence,emerald,Gleichungen: Was ist gleich?,Equation equivalence,"Das Kind erkennt, ob zwei Gleichungen im ZR20 den gleichen Wert ergeben.",The child recognizes whether two equations within 20 have the same value.
commutativity_zr20,C,commutativity,emerald,Tauschaufgaben (Kommutativgesetz),Commutativity,"Das Kind erkennt, dass eine Tauschaufgabe (z. B. 3+5 und 5+3) das gleiche Ergebnis hat.",The child recognizes that a commuted task (e.g. 3+5 and 5+3) has the same result.
number_wall_zr20,C,number_wall,emerald,Zahlenmauer,Number wall,"Das Kind ergänzt eine Zahlenmauer im ZR20, indem es benachbarte Steine addiert oder eine fehlende Zahl erschließt.",The child completes a number wall within 20 by adding neighbouring blocks or working out a missing number.
calculation_triangle_zr20,C,calculation_triangle,emerald,Rechendreieck,Calculation triangle,"Das Kind ergänzt ein Rechendreieck im ZR20, indem es die Beziehung zwischen den drei Zahlen nutzt.",The child completes a calculation triangle within 20 by using the relationship between the three numbers.
magnitude_estimate_zr100,C,magnitude_estimate,emerald,Zahlenblick: Größenschätzung ohne Rechnen,Magnitude estimation without computing,"Das Kind schätzt die Größenordnung einer Zahl im ZR100, ohne sie exakt zu berechnen.",The child estimates the magnitude of a number within 100 without calculating it exactly.
ordinal_1,A,ordinal,amber,Ordnungszahlen verwenden,Use ordinal numbers,"Das Kind verwendet Ordnungszahlen (z. B. der dritte), um die Position in einer Reihe zu benennen.","The child uses ordinal numbers (e.g. ""the third"") to name a position within a sequence."
representation_bild_symbol,A,representation_bild_symbol,amber,Bild und Symbol verknüpfen,Connect image and symbol,Das Kind verknüpft ein Bild mit dem passenden Zahlensymbol.,The child connects a picture with the matching number symbol.
representation_bild_symbol_wort,A,representation_bild_symbol,amber,"Bild, Symbol und Wort flexibel verknüpfen","Flexibly connect image, symbol and word","Das Kind verknüpft Bild, Zahlensymbol und Zahlwort flexibel miteinander, auch bei ähnlich klingenden Zahlwörtern (z. B. sechs/sechzehn/sechzig).","The child flexibly connects a picture, number symbol and number word, even for similar-sounding number words (e.g. six/sixteen/sixty)."
operation_sense_add,D,operation_sense,violet,Addition im Kontext verstehen,Understand addition in context,Das Kind erkennt in einer Sachsituation eine Additionshandlung und stellt sie als Rechnung dar.,The child recognizes an addition action in a story situation and expresses it as a calculation.
operation_sense_sub,D,operation_sense,violet,Subtraktion im Kontext verstehen (wegnehmen und vergleichen),Understand subtraction in context (take-away and compare),Das Kind erkennt in einer Sachsituation eine Subtraktionshandlung (Wegnehmen oder Vergleichen) und stellt sie als Rechnung dar.,The child recognizes a subtraction action (taking away or comparing) in a story situation and expresses it as a calculation.
operation_sense_story,D,operation_sense,violet,Rechengeschichten in Gleichungen übersetzen,Translate story problems into equations,Das Kind übersetzt eine Rechengeschichte in die passende Gleichung.,The child translates a story problem into the matching equation.
number_line_rechenstrich,B,number_line_strategy,indigo,Rechenstrich zum Rechnen nutzen,Use the empty number line for calculation,"Das Kind nutzt den leeren Rechenstrich, um eine Rechnung im ZR100 über gedankliche Sprünge zu lösen.",The child uses the empty number line to solve a calculation within 100 through mental jumps.
number_line_zahlenstrahl,B,number_line_strategy,indigo,Zahlenstrahl zur Positionierung nutzen (Mitte finden),Use the marked number line for positioning (find the midpoint),"Das Kind nutzt den beschrifteten Zahlenstrahl, um die Mitte zwischen zwei Zahlen im ZR100 zu bestimmen.",The child uses the labelled number line to find the midpoint between two numbers within 100.
number_line_strategies,B,number_line_strategy,indigo,Zahlenstrahl-Strategien: Zahl über Ungleichungen eingrenzen,Number-line strategies: narrow a number via inequalities,Das Kind grenzt eine gesuchte Zahl im ZR100 über Ungleichungen auf dem Zahlenstrahl ein.,The child narrows down a target number within 100 on the number line using inequalities.
bundling_recognition_overflow_zr100,B,bundling_recognition,indigo,Bündelung erkennen bei mehr als 10 Einern,Recognize bundling when there are more than 10 loose ones,"Das Kind erkennt bei einer Dienes-Darstellung mit mehr als 10 losen Einern, dass diese zu einem weiteren Zehner gebündelt werden müssen.","The child recognizes, in a base-ten block display with more than 10 loose ones, that these must be bundled into another ten."
hundred_chart_structure_zr100,B,hundred_chart,indigo,Hundertertafel: Struktur nutzen (oben/unten/links/rechts),100-chart: use the row/column structure (above/below/left/right),Das Kind bestimmt einen Nachbarwert auf einer spärlich beschrifteten Hundertertafel über die +/-1 (Zeile) bzw. +/-10 (Spalte) Struktur.,The child determines a neighbouring value on a sparsely labelled hundred-chart using the +/-1 (row) or +/-10 (column) structure.
