ListNumber,SourceType,QuestionText,AnswerFormat,CorrectAnswer,German,English,IfWrong_practice_skills,Ifwrong_skip,Notes,SkipGroup,Zahlenraum,AudioAsset,Hilfetext
11,Image,DDB-01,Single,56.,"Wie heißt die Zahl, die hier dargestellt ist?","Here are sticks. Some are bundled in tens. Count the bundles first, then the single sticks. What number is shown here?","B1.2, B1.1, A2.2",,medium; B1.2 Bündelung von Einzelobjekten zu Zehnern — 5 Zehnerbündel und 6 Einer,,ZR100,,"Hier liegen Stäbchen. Einige sind zu Zehnern gebündelt. Zähle zuerst die Bündel, dann die einzelnen Stäbchen."
12,Image,DDB-02,Single,1 Zehner und 15 Einer.,Tausche einen Zehner in zehn einzelne Stäbchen. Wie viele Zehner und wie viele Einer hast du jetzt?,The number 25 is laid out as 2 tens and 5 ones. Exchange one ten for ten single sticks. How many tens and how many ones do you have now? Enter it.,"B1.3, B2.3",,hard; B1.3 Entbündelung eines Zehners — Umformung in nicht-standardisierte Bündelung,,ZR100,,Die Zahl 25 ist hier gelegt als 2 Zehner und 5 Einer.
13,Text,Hier steht die Zahl 60. Wie viele Zehner hat sie? Und wie viele Einer?,Single,6 Zehner und 0 Einer.,Hier steht die Zahl 60. Wie viele Zehner hat sie? Und wie viele Einer?,Here is the number 60. How many tens does it have? And how many ones?,"B1.1, B2.1",,hard; B1.1 Zehner und Einer in zweistelliger Zahl erkennen — Nullstelle als Grenzfall,,ZR100,,
14,Image,DDB-04,Single,58.,Wie heißt die Zahl?,In this place-value table are the tens and the ones. The table shows the tens on the left and the ones on the right. What is the number?,"B2.1, B1.1",,medium; B2.1 Standardform und Stellenwerttafel — Lesen aus der Tafel,,ZR100,,In dieser Stellenwerttafel stehen die Zehner und die Einer. Die Tafel zeigt links die Zehner und rechts die Einer.
15,Image,DDB-05,Single,Markierung am Teilstrich 75.,Markiere die Zahl 75 auf dem Zahlenstrahl.,Here is a number line from 0 to 100. Mark the number 75 on the number line.,"B2.2, B2.1",,medium; B2.2 Zahlen am Zahlenstrahl verorten — 75 auf dem 0–100-Strahl,,ZR100,,Der Zahlenstrahl reicht von 0 bis 100.
16,Text,"Ich sage dir gleich eine Zahl. Höre gut zu, ich sage sie nur einmal. Schreib die Zahl auf: Siebzig.",Single,70.,"Ich sage dir gleich eine Zahl. Höre gut zu, ich sage sie nur einmal. Schreib die Zahl auf: Siebzig.","I will say a number to you in a moment. Listen carefully, I say it only once. Write the number down: Seventy.","B2.1, B1.1",,hard; B2.1 Standardform und Stellenwerttafel — auditive Zahldarstellung (Zahlendiktat in eigener Form),,ZR100,,
17,Text,Wie viel ist 9 + 5? Nenne das Ergebnis.,Single,14.,Wie viel ist 9 + 5? Nenne das Ergebnis.,How much is 9 + 5? State the result.,"C2.1, A3.1, A3.2",,medium; C2.1 Zerlegungsstrategien (Teilschritt-Verfahren) — 9 + 5 im ZR20 mit Zehnerübergang,,ZR20,,
18,Text,Wie viel ist 14 − 8? Nenne das Ergebnis.,Single,6.,Wie viel ist 14 − 8? Nenne das Ergebnis.,How much is 14 − 8? State the result.,"C2.3, C1.1b",,medium; C2.3 Ergänzen statt Abziehen bei Subtraktion — 14 − 8,,ZR20,,
19,Text,Wie viel ist 7 + 8? Nenne das Ergebnis.,Single,15.,Wie viel ist 7 + 8? Nenne das Ergebnis.,How much is 7 + 8? State the result.,"C2.2, A3.3, C1.2",,hard; C2.2 Verdopplung/Halbierung als Stützpunkt — 7 + 8 als Nachbaraufgabe,,ZR20,,
20,Text,Wie viel ist 16 − 9? Nenne das Ergebnis.,Single,7.,Wie viel ist 16 − 9? Nenne das Ergebnis.,How much is 16 − 9? State the result.,"C2.3, C1.1b",,hard; C2.3 Ergänzen statt Abziehen bei Subtraktion — 16 − 9,,ZR20,,
21,Text,Wie viel ist 48 − 26? Nenne das Ergebnis.,Single,22.,Wie viel ist 48 − 26? Nenne das Ergebnis.,How much is 48 − 26? State the result.,"C3.1b, B1.1",,"medium; C3.1 Stellenweises Rechnen (Z ± Z, E ± E) — 48 − 26",,ZR100,,
22,Text,Wie viel ist 37 + 8? Nenne das Ergebnis.,Single,45.,Wie viel ist 37 + 8? Nenne das Ergebnis.,How much is 37 + 8? State the result.,"C3.2, A1.5",,medium; C3.2 Schrittweises Rechnen — 37 + 8 über die Zehnergrenze,,ZR100,,
23,Text,Wie viel ist 38 + 27? Nenne das Ergebnis.,Single,65.,Wie viel ist 38 + 27? Nenne das Ergebnis.,How much is 38 + 27? State the result.,"C3.1a, C2.1",,"hard; C3.1 Stellenweises Rechnen (Z ± Z, E ± E) — 38 + 27 mit Zehnerübertrag",,ZR100,,
24,Text,Wie viel ist 62 − 7? Nenne das Ergebnis.,Single,55.,Wie viel ist 62 − 7? Nenne das Ergebnis.,How much is 62 − 7? State the result.,"C3.2, A1.5",,hard; C3.2 Schrittweises Rechnen — 62 − 7 über die Zehnergrenze,,ZR100,,
25,Text,Wie viel ist 36 + 39? Nenne das Ergebnis.,Single,75.,Wie viel ist 36 + 39? Nenne das Ergebnis.,How much is 36 + 39? State the result.,"C3.3, C3.1a, C2.2",,"hard; C3.3 Hilfsaufgaben (Nachbaraufgaben, Ergänzen) — 36 + 39 über die Nachbaraufgabe",,ZR100,,
26,Text,Wie viel ist 54 − 28? Nenne das Ergebnis.,Single,26.,Wie viel ist 54 − 28? Nenne das Ergebnis.,How much is 54 − 28? State the result.,"C3.4b, B1.3, C2.1",,hard; C3.4 Zerlegungsstrategien — 54 − 28 über Entbündelung,,ZR100,,
27,Text,"Auf dem Schulfest sind 14 Kinder beim Schminken. 6 Kinder sind schon fertig. Wie viele Kinder warten noch? Schreibe nur die Rechnung auf, du brauchst nicht zu rechnen.",Single,14 − 6,"Auf dem Schulfest sind 14 Kinder beim Schminken. 6 Kinder sind schon fertig. Wie viele Kinder warten noch? Schreibe nur die Rechnung auf, du brauchst nicht zu rechnen.","At the school fair 14 children are getting their faces painted. 6 children are already finished. How many children are still waiting? Only write down the calculation, you do not need to work it out.","D1.1, D1.2",,"medium; D1.1 Mathematisierung von Alltagskontexten — Schulfest, Schminkstand",,ZR20,,
28,Text,An der Garderobe der Klasse hängen 8 Jacken. 3 Jacken werden in der Pause abgeholt. Schreibe die Rechnung auf.,Single,8 − 3,An der Garderobe der Klasse hängen 8 Jacken. 3 Jacken werden in der Pause abgeholt. Schreibe die Rechnung auf.,8 jackets are hanging in the class cloakroom. 3 jackets are picked up during break. Write down the calculation.,"D1.1, D1.2",,medium; D1.1 Mathematisierung von Alltagskontexten — Garderobe,,ZR20,,
29,Text,Im Fahrradständer der Schule stehen 9 Fahrräder. In der Mittagspause kommen 4 Fahrräder dazu. Schreibe die Rechnung auf.,Single,9 + 4,Im Fahrradständer der Schule stehen 9 Fahrräder. In der Mittagspause kommen 4 Fahrräder dazu. Schreibe die Rechnung auf.,9 bicycles are standing in the school bike rack. At lunchtime 4 more bicycles are added. Write down the calculation.,"D1.1, C2.1",,hard; D1.1 Mathematisierung von Alltagskontexten — Fahrradständer,,ZR20,,
30,Text,In der Pause spielen 6 Kinder am Klettergerüst und 5 Kinder an der Schaukel. Wie viele Kinder spielen zusammen?,Single,11.,In der Pause spielen 6 Kinder am Klettergerüst und 5 Kinder an der Schaukel. Wie viele Kinder spielen zusammen?,During break 6 children are playing on the climbing frame and 5 children on the swing. How many children are playing together?,"D1.2, D1.1",,"medium; D1.2 Erkennen der Rechenoperation — Pausenhof, Klettergerüst und Schaukel",,ZR20,,
31,Text,In der Klassenbücherei liegen 12 Bilderbücher im Regal. 4 Bücher werden ausgeliehen. Wie viele Bücher bleiben im Regal?,Single,8.,In der Klassenbücherei liegen 12 Bilderbücher im Regal. 4 Bücher werden ausgeliehen. Wie viele Bücher bleiben im Regal?,12 picture books are lying on the shelf in the class library. 4 books are borrowed. How many books stay on the shelf?,"D1.2, C1.1b",,medium; D1.2 Erkennen der Rechenoperation — Klassenbücherei,,ZR20,,
32,Text,In Toms Turnbeutel sind 9 Springseile. In Annas Turnbeutel sind 7 Springseile. Wie viele Springseile haben beide zusammen?,Single,16.,In Toms Turnbeutel sind 9 Springseile. In Annas Turnbeutel sind 7 Springseile. Wie viele Springseile haben beide zusammen?,In Tom's sports bag there are 9 skipping ropes. In Anna's sports bag there are 7 skipping ropes. How many skipping ropes do they have together?,"D1.2, C2.1",,hard; D1.2 Erkennen der Rechenoperation — Turnbeutel mit Springseilen,,ZR20,,
