ListNumber,SourceType,QuestionText,AnswerFormat,CorrectAnswer,German,English,IfWrong_practice_skills,Ifwrong_skip,Notes,SkipGroup,Zahlenraum,AudioAsset,Hilfetext
15,Text,"Zähle in Zweierschritten weiter: 82, 84, 86, __, __, __, __",Single,"88, 90, 92, 94","Zähle in Zweierschritten weiter: 82, 84, 86, __, __, __, __","Count on in steps of two: 82, 84, 86, __, __, __, __",skip2_forward_zr100,,"v3 legacy-derived (iMINT Testkarte 4); supersedes counting_6/counting_7; 3 given, 4 to fill",skip2_forward,ZR100,,
16,Text,"Zähle in Zweierschritten rückwärts weiter: 76, 74, 72, __, __, __, __",Single,"70, 68, 66, 64","Zähle in Zweierschritten rückwärts weiter: 76, 74, 72, __, __, __, __","Count backward in steps of two: 76, 74, 72, __, __, __, __",skip2_backward_zr100,,"v3 legacy-derived (iMINT Testkarte 4); supersedes counting_6/counting_7; 3 given, 4 to fill",skip2_backward,ZR100,,
17,Text,"Ordne diese Zahlen von klein nach groß: 14, 6, 19, 3",Sort,"3, 6, 14, 19","Ordne diese Zahlen von klein nach groß: 14, 6, 19, 3","Order these numbers from smallest to largest: 14, 6, 19, 3",order_cards_zr20,,v3 legacy-derived (iMINT Testkarte 5); supersedes counting_2 and clean-room v1 LN nothing (new format),order_cards,ZR20,,
18,Text,"Ordne diese Zahlen von klein nach groß: 58, 91, 34, 77",Sort,"34, 58, 77, 91","Ordne diese Zahlen von klein nach groß: 58, 91, 34, 77","Order these numbers from smallest to largest: 58, 91, 34, 77",order_cards_zr100,,v3 legacy-derived (iMINT Testkarte 5); supersedes counting_2,order_cards,ZR100,,
19,Image,V3Z-03,Single,14,Auf dem Zahlenstrahl von 0 bis 20 ist eine Stelle markiert. Welche Zahl ist das?,A point is marked on the number line from 0 to 20. Which number is it?,place_on_numberline_zr20,,"iMINT-gap skill (Arbeitskarte 10); renders as a NumberLineReadWidget (0-20, mark at 14, unlabeled) -- reading a marked position off a scaled line, the opposite interaction from the tap-to-place Zahlenstrahl widgets used elsewhere in the app",place_on_numberline,ZR20,,
20,Image,V3Z-04,Single,68,Auf dem Zahlenstrahl von 0 bis 100 ist eine Stelle markiert. Welche Zahl ist das?,A point is marked on the number line from 0 to 100. Which number is it?,place_on_numberline_zr100,,"iMINT-gap skill (Arbeitskarte 11); renders as a NumberLineReadWidget (0-100, mark at 68, unlabeled)",place_on_numberline,ZR100,,
21,Image,V3M-02,Single,22,"Du startest bei 36 auf dem Rechenstrich, springst 10 Schritte zurück und dann noch 4 Schritte zurück. Bei welcher Zahl landest du?","You start at 36 on the empty number line, jump 10 steps back and then 4 more steps back. Which number do you land on?",number_line_rechenstrich,,"PIKAS-sourced (Kartei 45); step-3 addition; renders as a RechenstrichWidget (start 36, jumps -10/-4) instead of bare text, per Jakob's 2026-09-13 feedback ('for questions about a Rechenstrich, we should show a Rechenstrich')",,ZR100,,
22,Image,V3M-03,Single,30,Auf dem Rechenstrich stehen 20 und 40. Welche Zahl liegt genau in der Mitte?,"On the number line, 20 and 40 are marked. Which number is exactly in the middle?",number_line_zahlenstrahl,,"PIKAS-sourced (Kartei 11/13); renders as a RechenstrichWidget-style line with only the two endpoints labeled and a downward arrow pointing at the midpoint, per Jakob's 2026-09-13 feedback",,ZR100,,
23,Text,Eine Zahl ist größer als 34 und kleiner als 36. Welche Zahl ist es?,Single,35,Eine Zahl ist größer als 34 und kleiner als 36. Welche Zahl ist es?,A number is greater than 34 and less than 36. Which number is it?,number_line_strategies,,PIKAS-sourced (Kartei 27); tightened to a single solution since the source game's own example is open-ended,,ZR100,,
24,Text,"Zähle in Fünferschritten weiter: 60, 65, 70, __, __, __, __",Single,"75, 80, 85, 90","Zähle in Fünferschritten weiter: 60, 65, 70, __, __, __, __","Count on in steps of five: 60, 65, 70, __, __, __, __",skip5_forward_zr100,,"v3 legacy-derived (iMINT Testkarte 13); supersedes counting_8/counting_9; 3 given, 4 to fill",,ZR100,,
25,Text,"Zähle in Fünferschritten rückwärts weiter: 85, 80, 75, __, __, __, __",Single,"70, 65, 60, 55","Zähle in Fünferschritten rückwärts weiter: 85, 80, 75, __, __, __, __","Count backward in steps of five: 85, 80, 75, __, __, __, __",skip5_backward_zr100,,"v3 legacy-derived; fills the skip5-backward gap iMINT itself never tests (see 01-testcard-skills.md open item #3); supersedes clean-room v1 LN6; 3 given, 4 to fill",,ZR100,,
26,Text,"Zähle in Zehnerschritten weiter: 30, 40, 50, __, __, __, __",Single,"60, 70, 80, 90","Zähle in Zehnerschritten weiter: 30, 40, 50, __, __, __, __","Count on in steps of ten: 30, 40, 50, __, __, __, __",skip10_forward_zr100,,"v3 legacy-derived (iMINT Testkarte 13); supersedes counting_8/counting_9; 3 given, 4 to fill",,ZR100,,
27,Text,"Zähle in Zehnerschritten rückwärts weiter: 90, 80, 70, __, __, __, __",Single,"60, 50, 40, 30","Zähle in Zehnerschritten rückwärts weiter: 90, 80, 70, __, __, __, __","Count backward in steps of ten: 90, 80, 70, __, __, __, __",skip10_backward_zr100,,"v3 legacy-derived (iMINT Testkarte 13); supersedes counting_8/counting_9; 3 given, 4 to fill",,ZR100,,
28,Text,Ein Zug hat 6 Wagen. Der 4. Wagen ist rot. Wie viele Wagen sind vor dem roten Wagen?,Single,3,Ein Zug hat 6 Wagen. Der 4. Wagen ist rot. Wie viele Wagen sind vor dem roten Wagen?,A train has 6 carriages. The 4th carriage is red. How many carriages are in front of the red one?,ordinal_1,,"PIKAS-sourced (Kartei 9); step-3 addition; ordinal_2 was rejected by Jakob (children don't know/need the word ""Ordnungszahl""), this one survives since it doesn't require that vocabulary",,ZR10,,
29,Image,V3M-01,Single,6,"Welches Symbol passt dazu: 5, 6 oder 7?","Which number matches this: 5, 6 or 7?",representation_bild_symbol,,PIKAS-sourced (Kartei 39/40); step-3 addition,,ZR10,,
30,Text,Welches Wort passt zur Zahl 6?,Single,sechs,Welches Wort passt zur Zahl 6?,Which word matches the number 6?,representation_bild_symbol_wort,,PIKAS-sourced (Kartei 39); tests the sechs/sechzehn/sechzig confusion; tap options curated in kAnswerSpecs (LN703) since choiceOptionsOf can't derive an arbitrary three-word list from prose; the options themselves were dropped from the question text once buttons carried them (Jakob's 2026-09-13 feedback),,ZR10,,
31,Text,6 = 4 + __,Single,2,6 = 4 + __,6 = 4 + __,decompose_single_digit,,"v3 legacy-derived (iMINT Testkarte 6); fresh number (6) instead of iMINT's 7; supersedes clean-room v1 LN16 (8 = 5 + 3, therefore 8 = 3 + __, same flexible-decomposition-recall format)",,ZR10,,
32,Text,4 + __ = 10,Single,6,4 + __ = 10,4 + __ = 10,complete_to_10,,"v3 legacy-derived (iMINT Testkarte 7); item a of 3; supersedes clean-room v1 LN13 (10 = 3 + ___, same completion format)",complete_to,ZR10,,
33,Text,7 + __ = 10,Single,3,7 + __ = 10,7 + __ = 10,complete_to_10,,v3 legacy-derived (iMINT Testkarte 7); item b of 3,complete_to,ZR10,,
34,Text,__ + 8 = 10,Single,2,__ + 8 = 10,__ + 8 = 10,complete_to_10,,v3 legacy-derived (iMINT Testkarte 7); item c of 3 -- gap at start,complete_to,ZR10,,
35,Text,13 + __ = 20,Single,7,13 + __ = 20,13 + __ = 20,complete_to_20,,v3 legacy-derived (iMINT Testkarte 7); item a of 3,complete_to,ZR20,,
36,Text,__ + 15 = 20,Single,5,__ + 15 = 20,__ + 15 = 20,complete_to_20,,v3 legacy-derived (iMINT Testkarte 7); item b of 3 -- gap at start,complete_to,ZR20,,
37,Text,20 - __ = 12,Single,8,20 - __ = 12,20 - __ = 12,complete_to_20,,v3 legacy-derived (iMINT Testkarte 7); item c of 3 -- subtraction-framed completion,complete_to,ZR20,,
38,Text,76 + __ = 100,Single,24,76 + __ = 100,76 + __ = 100,complete_to_100,,v3 legacy-derived (Arbeitskarte 16 gap skill; step-3 cross-check); natural ZR100 extension of complete_to_20 (Testkarte 7); ordered next to complete_to_10/20 rather than after the visual items (2026-09-12 reorder per Jakob's feedback),complete_to,ZR100,,
39,Image,V3G-01,Single,8,Du siehst kurz Finger. Wie viele waren es?,You'll briefly see fingers. How many were there?,fingerblitz_quantity_zr10,,"v3 legacy-derived (Arbeitskarte 1 gap skill; step-3 cross-check); uses the existing finger-image assets (assets/images/fingers/) via FingerBildWidget, flashed with the same Bereit/countdown/flash pattern as A2.1-01",,ZR10,,
40,Image,V3D-01,Single,6,Wie viele Punkte siehst du?,How many dots do you see?,structured_quantity_recognition_zr10,,"v3 legacy-derived (iMINT Testkarte 8); item a of 4; ordered dot arrangement (CountingDotsWidget structured=true), not a frame apparatus",structured_quantity_recognition,ZR10,,
41,Image,V3D-02,Single,8,Wie viele Punkte siehst du?,How many dots do you see?,structured_quantity_recognition_zr10,,v3 legacy-derived (iMINT Testkarte 8); item b of 4,structured_quantity_recognition,ZR10,,
42,Image,V3D-03,Single,9,Wie viele Punkte siehst du?,How many dots do you see?,structured_quantity_recognition_zr10,,v3 legacy-derived (iMINT Testkarte 8); item c of 4,structured_quantity_recognition,ZR10,,
43,Image,V3D-05,Single,14,Wie viele Punkte siehst du?,How many dots do you see?,structured_quantity_recognition_zr20,,v3 legacy-derived (Arbeitskarte 8 gap skill; step-3 cross-check); natural ZR20 extension of Testkarte 8 (ZR10 only); ordered next to its ZR10 sibling,structured_quantity_recognition,ZR20,,
44,Image,V3D-06,Single,13,Wie viele Perlen sind auf dem Rechenschiffchen zu sehen?,How many beads can you see on the calculation boat?,quick_recognition_rechenschiffchen_zr20,,v3 legacy-derived (iMINT Testkarte 9); item a of 4,,ZR20,,
45,Image,V3D-07,Single,17,Wie viele Perlen sind auf dem Rechenschiffchen zu sehen?,How many beads can you see on the calculation boat?,quick_recognition_rechenschiffchen_zr20,,v3 legacy-derived (iMINT Testkarte 9); item b of 4,,ZR20,,
46,Image,V3D-08,Single,11,Wie viele Perlen sind auf dem Rechenschiffchen zu sehen?,How many beads can you see on the calculation boat?,quick_recognition_rechenschiffchen_zr20,,v3 legacy-derived (iMINT Testkarte 9); item c of 4,,ZR20,,
47,Image,V3D-09,Single,19,Wie viele Perlen sind auf dem Rechenschiffchen zu sehen?,How many beads can you see on the calculation boat?,quick_recognition_rechenschiffchen_zr20,,v3 legacy-derived (iMINT Testkarte 9); item d of 4,,ZR20,,
48,Image,V3D-10,Single,100,Wie viele Punkte sind im vollen Hunderterfeld?,How many dots are in the full hundred-field?,dot_field_full,,v3 legacy-derived (iMINT Testkarte 12),,ZR100,,
49,Image,V3D-11,Single,14,Wie viele Punkte siehst du im Hunderterfeld?,How many dots do you see in the hundred-field?,dot_field_small,,v3 legacy-derived (iMINT Testkarte 12),,ZR100,,
50,Image,V3D-12,Single,78,Wie viele Punkte siehst du im Hunderterfeld?,How many dots do you see in the hundred-field?,dot_field_large,,v3 legacy-derived (iMINT Testkarte 12),,ZR100,,
51,Image,V3D-13,Single,97,Wie viele Punkte siehst du im Hunderterfeld?,How many dots do you see in the hundred-field?,dot_field_near_max,,"v3 legacy-derived (iMINT Testkarte 12); requires ""what's missing"" reasoning, qualitatively harder than the other three dot-field items",,ZR100,,
52,Image,V3S-01,Single,47,Zähle die Zehnerstangen und die Einerwürfel. Wie viele sind das insgesamt?,Count the tens rods and the ones cubes. How many are there altogether?,bundling_recognition_zr100,,"v3 legacy-derived (iMINT Testkarte 10); item a of 2; supersedes clean-room v1 LN21 (bundled sticks, same ""count bundles then singles, name the total"" construct); draft German wording said ""Punkte"" (dots) -- copy-paste leftover from the dot-based items, corrected here since the widget shows Dienes rods/cubes, not dots",,ZR100,,
53,Image,V3S-02,Single,63,Zähle die Zehnerstangen und die Einerwürfel. Wie viele sind das insgesamt?,Count the tens rods and the ones cubes. How many are there altogether?,bundling_recognition_zr100,,v3 legacy-derived (iMINT Testkarte 10); item b of 2,,ZR100,,
54,Image,V3S-04,Single,53,Zähle die Zehnerstangen und die Einerwürfel. Wie viele sind das insgesamt?,Count the tens rods and the ones cubes. How many are there altogether?,bundling_recognition_overflow_zr100,,added 2026-09-12 per Jakob's feedback: 4 rods + 13 loose ones (more than 10 unbundled ones) to see whether the child still just counts/adds everything rather than assuming the ones pile must be single-digit,,ZR100,,
55,Text,"Du hörst gleich fünf Zahlen nacheinander. Schreibe jede Zahl in der richtigen Reihenfolge auf. Du kannst sie dir so oft anhören, wie du möchtest.",Single,"17, 47, 70, 72, 84","Du hörst gleich fünf Zahlen nacheinander. Schreibe jede Zahl in der richtigen Reihenfolge auf. Du kannst sie dir so oft anhören, wie du möchtest.","You'll hear five numbers, one after another. Write each number down in order. You can listen to them again as many times as you like.",number_word_dictation_zr100,,"iMINT-gap skill (Testkarte 4, Zahlen hören und schreiben); one audio clip speaks all 5 numbers in sequence (17, 47, 70, 72, 84 -- a mix of a teen number, a decade number and three distinct-digit two-digit numbers, per Jakob's 2026-09-13 selection); the child types each into its own box in order via the sequence answer mode; a replay button (existing _buildAudioReplayButton wiring) lets the child re-listen as often as needed",,ZR100,Research/zahlen_diktat_17_47_70_72_84.mp3,
56,Image,V3S-05,Single,37,Im Hundertfeld ist die 47 markiert. Was steht direkt über der 47?,"In the hundred-chart, 47 is marked. What is directly above 47?",hundred_chart_structure_zr100,,"added 2026-09-12 per Jakob's feedback: sparse hundred-chart (only the four corners + the marked number visible) -- item a of 4 (above); the answer cell is never itself shown, so it must be derived from the ±10 column structure, not read off a labeled neighbor",,ZR100,,
57,Image,V3S-06,Single,73,Im Hundertfeld ist die 63 markiert. Was steht direkt unter der 63?,"In the hundred-chart, 63 is marked. What is directly below 63?",hundred_chart_structure_zr100,,item b of 4 (below),,ZR100,,
58,Image,V3S-07,Single,57,Im Hundertfeld ist die 58 markiert. Was steht direkt links von der 58?,"In the hundred-chart, 58 is marked. What is directly to the left of 58?",hundred_chart_structure_zr100,,item c of 4 (left),,ZR100,,
59,Image,V3S-08,Single,25,Im Hundertfeld ist die 24 markiert. Was steht direkt rechts von der 24?,"In the hundred-chart, 24 is marked. What is directly to the right of 24?",hundred_chart_structure_zr100,,item d of 4 (right),,ZR100,,
60,Text,"Auf dem einen Teller liegen 7 Kirschen, auf dem anderen 4. Wie viel mehr Kirschen liegen auf dem einen Teller?",Single,3,"Auf dem einen Teller liegen 7 Kirschen, auf dem anderen 4. Wie viel mehr Kirschen liegen auf dem einen Teller?","On one plate there are 7 cherries, on the other 4. How many more cherries are on the one plate?",compare_quantity_difference,,v3 legacy-derived (iMINT Testkarte 14),,ZR10,,
61,Text,5 + 3 = __,Single,8,5 + 3 = __,5 + 3 = __,basic_fact_add_with_5,,v3 legacy-derived (iMINT Testkarte 15),,ZR10,,
62,Text,9 - 5 = __,Single,4,9 - 5 = __,9 - 5 = __,basic_fact_sub_with_5,,v3 legacy-derived (iMINT Testkarte 15),,ZR10,,
63,Text,5 + __ = 8,Single,3,5 + __ = 8,5 + __ = 8,complete_gap_end,,v3 legacy-derived (iMINT Testkarte 15); gap at the end,,ZR10,,
64,Text,__ + 3 = 5,Single,2,__ + 3 = 5,__ + 3 = 5,complete_gap_start,,v3 legacy-derived (iMINT Testkarte 15); gap at the start,,ZR10,,
65,Text,Auf der Wiese sitzen 4 Vögel. 3 weitere Vögel kommen dazu. Wie viele Vögel sitzen jetzt auf der Wiese?,Single,7,Auf der Wiese sitzen 4 Vögel. 3 weitere Vögel kommen dazu. Wie viele Vögel sitzen jetzt auf der Wiese?,4 birds are sitting in the meadow. 3 more birds join them. How many birds are in the meadow now?,operation_sense_add,,PIKAS-sourced (Kartei 44); step-3 addition,,ZR10,,
66,Text,Auf dem Teller liegen 8 Kekse. Du isst 3 davon. Wie viele Kekse liegen noch auf dem Teller?,Single,5,Auf dem Teller liegen 8 Kekse. Du isst 3 davon. Wie viele Kekse liegen noch auf dem Teller?,There are 8 cookies on the plate. You eat 3 of them. How many cookies are left on the plate?,operation_sense_sub,,PIKAS-sourced (Kartei 38); item a of 2 (wegnehmen / take-away),,ZR10,,
67,Text,"Lisa hat 9 Sticker, Tom hat 6 Sticker. Wie viele Sticker hat Lisa mehr als Tom?",Single,3,"Lisa hat 9 Sticker, Tom hat 6 Sticker. Wie viele Sticker hat Lisa mehr als Tom?","Lisa has 9 stickers, Tom has 6 stickers. How many more stickers does Lisa have than Tom?",operation_sense_sub,,"PIKAS-sourced (Kartei 38); item b of 2 (vergleichen / compare) -- same skill as 705, different construct (comparison vs. take-away)",,ZR10,,
68,Text,Welche Rechnung passt zur Geschichte? Mia hatte 5 Bonbons und bekommt noch 4 dazu.,Single,5+4,Welche Rechnung passt zur Geschichte? Mia hatte 5 Bonbons und bekommt noch 4 dazu.,Which calculation matches the story? Mia had 5 candies and gets 4 more.,operation_sense_story,,"PIKAS-sourced (Kartei 42); tests translation to an equation, not computation -- grades on the typed equation ""5+4"", not the result 9; the a)/b)/c) list was dropped from the question text once buttons carried the options (Jakob's 2026-09-13 feedback)",,ZR10,,
69,Text,Wie viel ist das Doppelte von 3?,Single,6,Wie viel ist das Doppelte von 3?,How much is double 3?,double_zr10,,v3 legacy-derived (iMINT Testkarte 18); supersedes clean-room v2 verdoppeln-halbieren.ZR10 (retired -- see diagnostic_service.dart),double,ZR10,,
70,Text,Wie viel ist das Doppelte von 6?,Single,12,Wie viel ist das Doppelte von 6?,How much is double 6?,double_zr10_to_zr20,,v3 legacy-derived (iMINT Testkarte 18),double,ZR20,,
71,Text,Wie viel ist das Doppelte von 9?,Single,18,Wie viel ist das Doppelte von 9?,How much is double 9?,double_crossing_10,,v3 legacy-derived (iMINT Testkarte 18),double,ZR20,,
72,Text,Wie viel ist das Doppelte von 30?,Single,60,Wie viel ist das Doppelte von 30?,How much is double 30?,double_decade,,v3 legacy-derived (iMINT Testkarte 19),double,ZR100,,
73,Text,Wie viel ist das Doppelte von 34?,Single,68,Wie viel ist das Doppelte von 34?,How much is double 34?,double_2digit_nocarry,,"v3 legacy-derived (iMINT Testkarte 19); ones digit 4 doubled = 8, no carry",double,ZR100,,
74,Text,Wie viel ist das Doppelte von 26?,Single,52,Wie viel ist das Doppelte von 26?,How much is double 26?,double_2digit_with_carry,,"v3 legacy-derived (iMINT Testkarte 19); item a of 2 -- ones digit 6 doubled = 12, carries",double,ZR100,,
75,Text,Wie viel ist das Doppelte von 38?,Single,76,Wie viel ist das Doppelte von 38?,How much is double 38?,double_2digit_with_carry,,"v3 legacy-derived (iMINT Testkarte 19); item b of 2 -- ones digit 8 doubled = 16, carries",double,ZR100,,
76,Text,Wie viel ist die Hälfte von 8?,Single,4,Wie viel ist die Hälfte von 8?,How much is half of 8?,halve_zr10,,"v3 legacy-derived (iMINT Testkarte 20); supersedes clean-room v1 LN34 (""halb so groß wie 6"", same single-number halving-query format)",halve,ZR10,,
77,Text,Wie viel ist die Hälfte von 16?,Single,8,Wie viel ist die Hälfte von 16?,How much is half of 16?,halve_zr20_anchor,,v3 legacy-derived (iMINT Testkarte 20),halve,ZR20,,
78,Text,Wie viel ist die Hälfte von 18?,Single,9,Wie viel ist die Hälfte von 18?,How much is half of 18?,halve_zr20_crossing,,"v3 legacy-derived (iMINT Testkarte 20); tens digit 1 is odd, forces regrouping",halve,ZR20,,
79,Text,Wie viel ist die Hälfte von 60?,Single,30,Wie viel ist die Hälfte von 60?,How much is half of 60?,halve_decade,,v3 legacy-derived (iMINT Testkarte 21),halve,ZR100,,
80,Text,Wie viel ist die Hälfte von 48?,Single,24,Wie viel ist die Hälfte von 48?,How much is half of 48?,halve_2digit_clean,,"v3 legacy-derived (iMINT Testkarte 21); even tens digit, clean digit-wise halving",halve,ZR100,,
81,Text,Wie viel ist die Hälfte von 90?,Single,45,Wie viel ist die Hälfte von 90?,How much is half of 90?,halve_2digit_needs_decomposition,,"v3 legacy-derived (iMINT Testkarte 21); item a of 2 -- odd tens digit forces decomposition; supersedes clean-room v1 LN35 (""halb so groß wie 10"", same format, but that item didn't test the harder odd-tens-digit case)",halve,ZR100,,
82,Text,Wie viel ist die Hälfte von 52?,Single,26,Wie viel ist die Hälfte von 52?,How much is half of 52?,halve_2digit_needs_decomposition,,v3 legacy-derived (iMINT Testkarte 21); item b of 2 -- odd tens digit forces decomposition,halve,ZR100,,
83,Text,40 + 30 = __,Single,70,40 + 30 = __,40 + 30 = __,tens_add_tens,,v3 legacy-derived (iMINT Testkarte 22),,ZR100,,
84,Text,80 - 30 = __,Single,50,80 - 30 = __,80 - 30 = __,tens_sub_tens,,v3 legacy-derived (iMINT Testkarte 22),,ZR100,,
85,Text,100 - 30 = __,Single,70,100 - 30 = __,100 - 30 = __,tens_sub_crossing_hundred,,v3 legacy-derived (iMINT Testkarte 22),,ZR100,,
86,Text,3 + 4 = __,Single,7,3 + 4 = __,3 + 4 = __,decade_analogy_add,,v3 legacy-derived (iMINT Testkarte 23); helper item of the pair,,"ZR10, ZR20",,
87,Text,13 + 4 = __,Single,17,13 + 4 = __,13 + 4 = __,decade_analogy_add,,v3 legacy-derived (iMINT Testkarte 23); target item of the pair -- same fact shifted by a decade,,"ZR10, ZR20",,
88,Text,4 + 8 = __,Single,12,4 + 8 = __,4 + 8 = __,decade_analogy_add_crossing_hundred,,v3 legacy-derived (iMINT Testkarte 23); helper item of the pair,,"ZR10, ZR100",,
89,Text,92 + 8 = __,Single,100,92 + 8 = __,92 + 8 = __,decade_analogy_add_crossing_hundred,,v3 legacy-derived (iMINT Testkarte 23); target item of the pair -- lands exactly on 100,,"ZR10, ZR100",,
90,Text,Ist 14 gerade oder ungerade?,Single,gerade,Ist 14 gerade oder ungerade?,Is 14 even or odd?,even_odd_recognition,,v3 legacy-derived (Arbeitskarte 15 gap skill; step-3 cross-check); item a of 2,,ZR20,,
91,Text,Ist 9 gerade oder ungerade?,Single,ungerade,Ist 9 gerade oder ungerade?,Is 9 even or odd?,even_odd_recognition,,v3 legacy-derived (Arbeitskarte 15 gap skill; step-3 cross-check); item b of 2,,ZR20,,
92,Text,Stimmt das? 6 + 4 = 8 + 2,Single,ja,Stimmt das? 6 + 4 = 8 + 2,Is this correct? 6 + 4 = 8 + 2,equation_equivalence_zr20,,"v3 legacy-derived (Arbeitskarte 18 gap skill; step-3 cross-check); item a of 2 (true case, 10 = 10)",,ZR20,,
93,Text,Stimmt das? 9 + 3 = 8 + 5,Single,nein,Stimmt das? 9 + 3 = 8 + 5,Is this correct? 9 + 3 = 8 + 5,equation_equivalence_zr20,,"v3 legacy-derived (Arbeitskarte 18 gap skill; step-3 cross-check); item b of 2 (false case, 12 != 13)",,ZR20,,
94,Text,"Wenn 8 + 5 = 13 ist, wie viel ist 5 + 8?",Single,13,"Wenn 8 + 5 = 13 ist, wie viel ist 5 + 8?","If 8 + 5 = 13, how much is 5 + 8?",commutativity_zr20,,v3 legacy-derived (Arbeitskarte 19 gap skill; step-3 cross-check); caveat -- can't distinguish reuse of the given fact from recomputing,,ZR20,,
95,Text,5 + 1 = __,Single,6,5 + 1 = __,5 + 1 = __,shift_plus_minus_1_2_zr10,,v3 legacy-derived (Arbeitskarte 3 gap skill; step-3 cross-check); item a of 2,,ZR10,,
96,Text,9 - 2 = __,Single,7,9 - 2 = __,9 - 2 = __,shift_plus_minus_1_2_zr10,,v3 legacy-derived (Arbeitskarte 3 gap skill; step-3 cross-check); item b of 2,,ZR10,,
