ListNumber,SourceType,QuestionText,AnswerFormat,CorrectAnswer,German,English,IfWrong_practice_skills,Ifwrong_skip,Notes,SkipGroup,Zahlenraum,AudioAsset
15,Text,Finde drei verschiedene Wege 8 zu rechnen. Schreib sie so auf: 8 = ___ + ___.,Multiple,"Drei verschiedene Zerlegungen der 8 in zwei natürliche Zahlen, z. B. 8 = 1 + 7, 8 = 2 + 6, 8 = 3 + 5 (oder 8 = 4 + 4).",Finde drei verschiedene Wege 8 zu rechnen. Schreib sie so auf: 8 = ___ + ___.,Find three different decompositions of 8. Write them like this: 8 = ___ + ___.,"A3.2, A3.1",,medium; A3.2 Zerlegungen einer Zahl flexibel finden,,ZR10,
16,Text,Paul weiß: 8 = 5 + 3. Damit weiß er auch: 8 = 3 + ___. Welche Zahl fehlt?,Single,5,Paul weiß: 8 = 5 + 3. Damit weiß er auch: 8 = 3 + ___. Welche Zahl fehlt?,Paul knows: 8 = 5 + 3. That tells him: 8 = 3 + ___. Which number is missing?,"A3.2, A3.1",,medium; A3.2 Zerlegungen einer Zahl flexibel finden,,ZR10,
17,Text,Finde alle Zerlegungen von 10 in zwei Zahlen. Schreib jede Zerlegung genau einmal auf.,Multiple,"Vollständige Menge: 10 = 1 + 9, 10 = 2 + 8, 10 = 3 + 7, 10 = 4 + 6, 10 = 5 + 5.",Finde alle Zerlegungen von 10 in zwei Zahlen. Schreib jede Zerlegung genau einmal auf.,Find all decompositions of 10 into two numbers. Write each decomposition exactly once.,"A3.2, A3.1",,hard; A3.2 Zerlegungen einer Zahl flexibel finden,,ZR10,
18,Text,Kim kennt die Zahl 4. Welche Zahl ist doppelt so groß wie die 4?,Single,8,Kim kennt die Zahl 4. Welche Zahl ist doppelt so groß wie die 4?,Kim knows the number 4. Which number is twice as large as 4?,"A3.3, A3.1",,"easy; A3.3 Zahlbeziehungen (Verdopplungen, Nachbarzahlen)",,ZR10,
19,Text,Tim weiß: 4 + 4 = 8. Wie viel ist dann 4 + 5?,Single,9,Tim weiß: 4 + 4 = 8. Wie viel ist dann 4 + 5?,Tim knows: 4 + 4 = 8. What is 4 + 5 then?,"A3.3, A3.1",,"medium; A3.3 Zahlbeziehungen (Verdopplungen, Nachbarzahlen)",,ZR10,
20,Text,Sieh dir die Zahl an. Die Zahl ist 58. Wie viele Zehner hat die Zahl 58? Und wie viele Einer hat die Zahl 58?,Single,"5 Zehner, 8 Einer.",Sieh dir die Zahl an. Die Zahl ist 58. Wie viele Zehner hat die Zahl 58? Und wie viele Einer hat die Zahl 58?,Look at the number. The number is 58. How many tens does 58 have? And how many ones does 58 have?,"B1.1, B1.2, B2.1",,easy; B1.1 Zehner und Einer in zweistelliger Zahl erkennen,,ZR100,
21,Image,B1.2-01,Single,34.,"Wie heißt die Zahl, die hier dargestellt ist?","Here are sticks. Some are bundled in tens. Count the bundles first, then the single sticks. What number is shown here?","B1.2, B1.1, A2.2",,medium; B1.2 Bündelung von Einzelobjekten zu Zehnern,,ZR100,
22,Image,B1.2-02,Single,41 Stäbchen insgesamt; bei neuem Bündeln 4 Zehner und 1 Einer.,Wie viele Stäbchen sind das zusammen? Und wenn du neu bündelst: Wie viele Zehner und wie viele Einer sind es dann?,Here are 3 bundles of ten and 11 single sticks. How many sticks is that altogether? And if you bundle again: how many tens and how many ones are there then?,"B1.2, B1.3, B2.3",,hard; B1.2 Bündelung von Einzelobjekten zu Zehnern,,ZR100,
23,Image,B1.3-01,Single,13 einzelne Stäbchen.,Öffne das Bündel. Wie viele einzelne Stäbchen hast du dann?,Here lie 13 sticks: one bundle of ten and 3 single sticks. Open the bundle so that only single sticks are left. How many single sticks do you have then?,"B1.3, B1.1, B2.3",,medium; B1.3 Entbündelung eines Zehners,,ZR100,
24,Image,B2.1-01,Single,"Z-Spalte: 4, E-Spalte: 7.",Trage die Zahl 47 in die Tafel ein.,Here is a place-value table with two columns: Z for tens and E for ones. Enter the number 47. Write the tens in the Z column and the ones in the E column.,"B2.1, B1.1, B2.3",,easy; B2.1 Standardform und Stellenwerttafel,,ZR100,
25,Image,B2.1-02,Single,60.,Welche Zahl steht in der Tafel? Schreib sie auf.,In this place-value table there is a 6 in the tens column and a 0 in the ones column. Write down the number that is in the table.,"B2.1, B1.1, A1.4",,medium; B2.1 Standardform und Stellenwerttafel,,ZR100,
26,Image,B2.2-01,Single,80.,Auf welche Zahl zeigt der Pfeil?,"This number line goes from 0 to 100. Here is 0, here is 50, here is 100. The arrow points to a position. What is the number the arrow points to?","B2.2, B1.1, A1.5",,medium; B2.2 Zahlen am Zahlenstrahl verorten,,ZR100,
27,Text,Lies diese Zahl genau: 1 Z + 14 E. Das heißt: 1 Zehner und 14 Einer. Wie heißt die Zahl?,Single,24.,Lies diese Zahl genau: 1 Z + 14 E. Das heißt: 1 Zehner und 14 Einer. Wie heißt die Zahl?,Read this number carefully: 1 Z + 14 E. That means: 1 ten and 14 ones. What is the number?,"B2.3, B1.2, B1.3",,hard; B2.3 Zahlen in nicht-standardisierter Form (z. B. »1 Z + 14 E«),,ZR100,
28,Text,Wie viel ist 3 plus 4?,Single,7,Wie viel ist 3 plus 4?,How much is 3 plus 4?,"C1.1a, A3.1, A3.3",,easy; C1.1 Aufgaben ohne Zehnerübergang ZR10 automatisiert abrufbar,,ZR10,
29,Text,Wie viel ist 6 minus 6?,Single,0,Wie viel ist 6 minus 6?,How much is 6 minus 6?,"C1.1b, A3.1, A1.2a",,easy; C1.1 Aufgaben ohne Zehnerübergang ZR10 automatisiert abrufbar,,ZR10,
30,Text,Was ergibt 2 plus 8?,Single,10,Was ergibt 2 plus 8?,What is 2 plus 8?,"C1.1a, A3.2, A3.1",,medium; C1.1 Aufgaben ohne Zehnerübergang ZR10 automatisiert abrufbar,,ZR10,
31,Text,Wie viel sind 10 minus 4?,Single,6,Wie viel sind 10 minus 4?,How much is 10 minus 4?,"C1.1b, A3.2, A3.1",,medium; C1.1 Aufgaben ohne Zehnerübergang ZR10 automatisiert abrufbar,,ZR10,
32,Text,Wie viel ist 4 plus 4?,Single,8,Wie viel ist 4 plus 4?,How much is 4 plus 4?,"C1.2, C1.1a, A3.3",,easy; C1.2 Verdopplungsaufgaben automatisiert,,ZR10,
33,Text,Wie viel ist 5 plus 5?,Single,10,Wie viel ist 5 plus 5?,How much is 5 plus 5?,"C1.2, A3.2, C1.1a",,medium; C1.2 Verdopplungsaufgaben automatisiert,,ZR10,
34,Text,Welche Zahl ist halb so groß wie 6?,Single,3,Welche Zahl ist halb so groß wie 6?,Which number is half as large as 6?,"C1.3, C1.2, A3.3",,easy; C1.3 Halbierungsaufgaben automatisiert,,ZR10,
35,Text,Welche Zahl ist halb so groß wie 10?,Single,5,Welche Zahl ist halb so groß wie 10?,Which number is half as large as 10?,"C1.3, C1.2, A3.2",,medium; C1.3 Halbierungsaufgaben automatisiert,,ZR10,
36,Text,Wie viel ist 7 plus 6?,Single,13,Wie viel ist 7 plus 6?,How much is 7 plus 6?,"C2.1, A3.1, C1.1a",,medium; C2.1 Zerlegungsstrategien (Teilschritt-Verfahren) ZR20 mit Zehnerübergang,,ZR20,
37,Text,Wie viel ist 8 plus 5?,Single,13,Wie viel ist 8 plus 5?,How much is 8 plus 5?,"C2.1, A3.1, A3.2",,medium; C2.1 Zerlegungsstrategien (Teilschritt-Verfahren) ZR20 mit Zehnerübergang,,ZR20,
38,Text,Wie viel ist 9 plus 7?,Single,16,Wie viel ist 9 plus 7?,How much is 9 plus 7?,"C2.1, A3.1, A3.2",,hard; C2.1 Zerlegungsstrategien (Teilschritt-Verfahren) ZR20 mit Zehnerübergang,,ZR20,
39,Text,Wie viel ist 8 plus 7?,Single,15,Wie viel ist 8 plus 7?,How much is 8 plus 7?,"C2.2, C1.2, A3.3",,medium; C2.2 Verdopplung/Halbierung als Stützpunkt (ZR20 mit Zehnerübergang),,ZR20,
40,Text,Wie viel ist 9 plus 8?,Single,17,Wie viel ist 9 plus 8?,How much is 9 plus 8?,"C2.2, C1.2, C2.1",,hard; C2.2 Verdopplung/Halbierung als Stützpunkt (ZR20 mit Zehnerübergang),,ZR20,
41,Text,Wie viel ist 13 minus 8?,Single,5,Wie viel ist 13 minus 8?,How much is 13 minus 8?,"C2.3, C2.1, C1.1b",,medium; C2.3 Ergänzen statt Abziehen bei Subtraktion (ZR20 mit Zehnerübergang),,ZR20,
42,Text,Wie viel ist 12 minus 9?,Single,3,Wie viel ist 12 minus 9?,How much is 12 minus 9?,"C2.3, C2.1, C1.1b",,medium; C2.3 Ergänzen statt Abziehen bei Subtraktion (ZR20 mit Zehnerübergang),,ZR20,
43,Text,Wie viel ist 15 minus 6?,Single,9,Wie viel ist 15 minus 6?,How much is 15 minus 6?,"C2.3, C2.1, A3.2",,hard; C2.3 Ergänzen statt Abziehen bei Subtraktion (ZR20 mit Zehnerübergang),,ZR20,
44,Text,Rechne 34 + 28. In der Tabelle stehen Zehner und Einer. Die Zahl 34 hat 3 Zehner und 4 Einer. Die Zahl 28 hat 2 Zehner und 8 Einer. Trage ein: Wie viele Zehner haben beide Zahlen zusammen? Wie viele Einer haben beide Zahlen zusammen? Rechne jetzt alles zusammen und schreibe das Ergebnis auf.,Single,5 Zehner und 12 Einer; die 12 Einer sind 1 Zehner und 2 Einer; zusammen 6 Zehner und 2 Einer = 62. Finale Antwort: 62.,Rechne 34 + 28. In der Tabelle stehen Zehner und Einer. Die Zahl 34 hat 3 Zehner und 4 Einer. Die Zahl 28 hat 2 Zehner und 8 Einer. Trage ein: Wie viele Zehner haben beide Zahlen zusammen? Wie viele Einer haben beide Zahlen zusammen? Rechne jetzt alles zusammen und schreibe das Ergebnis auf.,Calculate 34 + 28. In the table are the tens and the ones. The number 34 has 3 tens and 4 ones. The number 28 has 2 tens and 8 ones. Enter: How many tens do both numbers have together? How many ones do both numbers have together? Now add everything up and write down the result.,"C3.1a, C2.1, B1.1",,"medium; C3.1 Stellenweises Rechnen (Z ± Z, E ± E) — »Stellenweises Rechnen«",,ZR100,
45,Text,"Rechne 57 − 19. Zerlege: 57 hat 5 Zehner und 7 Einer. 19 hat 1 Zehner und 9 Einer. Rechne zuerst die Zehner. Bei den Einern musst du einen Zehner auflösen. Erkläre, was du bei den Einern machst. Rechne dann 57 − 19 aus und trage das Ergebnis ein.",Single,"4 Zehner, 17 − 9 = 8 Einer → 38. Finale Antwort: 38.","Rechne 57 − 19. Zerlege: 57 hat 5 Zehner und 7 Einer. 19 hat 1 Zehner und 9 Einer. Rechne zuerst die Zehner. Bei den Einern musst du einen Zehner auflösen. Erkläre, was du bei den Einern machst. Rechne dann 57 − 19 aus und trage das Ergebnis ein.",Calculate 57 − 19. Split: 57 has 5 tens and 7 ones. 19 has 1 ten and 9 ones. First subtract the tens. With the ones you have to unbundle a ten. Explain what you do with the ones. Then calculate 57 − 19 and enter the result.,"C3.1b, C2.1, B1.3",,"medium; C3.1 Stellenweises Rechnen (Z ± Z, E ± E) — »Stellenweises Rechnen«",,ZR100,
46,Text,"Rechne 84 − 26. Zerlege 84 in Zehner und Einer. Zerlege 26 in Zehner und Einer. Rechne Zehner minus Zehner und Einer minus Einer. Was ist bei den Einern besonders? Wähle aus, wie du die Einer gerechnet hast, und rechne 84 − 26 aus.",Single,"7 Zehner, 14 − 6 = 8 Einer → 58. Finale Antwort: 58.","Rechne 84 − 26. Zerlege 84 in Zehner und Einer. Zerlege 26 in Zehner und Einer. Rechne Zehner minus Zehner und Einer minus Einer. Was ist bei den Einern besonders? Wähle aus, wie du die Einer gerechnet hast, und rechne 84 − 26 aus.",Calculate 84 − 26. Split 84 into tens and ones. Split 26 into tens and ones. Subtract tens minus tens and ones minus ones. What is special about the ones? Choose how you calculated the ones and calculate 84 − 26.,"C3.1b, B1.3, C3.4b",,"hard; C3.1 Stellenweises Rechnen (Z ± Z, E ± E) — »Stellenweises Rechnen«",,ZR100,
47,Text,"Rechne 26 + 35 in Schritten. Wie viel fehlt der 26 bis zum nächsten Zehner? Rechne: 26 + 4 = __. Wenn du die 4 von der 35 wegnimmst, wie viel bleibt von der 35 übrig? Rechne dann: 30 + 31 = __. Wie viel ist 26 + 35?",Single,30 (26 + 4); 31 (35 − 4); 61 (30 + 31). Finale Antwort: 61.,"Rechne 26 + 35 in Schritten. Wie viel fehlt der 26 bis zum nächsten Zehner? Rechne: 26 + 4 = __. Wenn du die 4 von der 35 wegnimmst, wie viel bleibt von der 35 übrig? Rechne dann: 30 + 31 = __. Wie viel ist 26 + 35?","Calculate 26 + 35 in steps. How much is missing from 26 to reach the next ten? Calculate: 26 + 4 = __. If you take the 4 away from 35, how much of 35 is left? Then calculate: 30 + 31 = __. How much is 26 + 35?","C3.2, C3.1a, C2.3",,medium; C3.2 Schrittweises Rechnen (Auffüllen zum Zehner) — »Schrittweises Rechnen«,,ZR100,
48,Text,Rechne 63 − 28 in Schritten. Erst ziehst du die Zehner ab: 63 − 20 = __. Dann ziehst du die Einer ab: 43 − 8 = __. Wie viel ist 63 − 28?,Single,43; 35; 35.,Rechne 63 − 28 in Schritten. Erst ziehst du die Zehner ab: 63 − 20 = __. Dann ziehst du die Einer ab: 43 − 8 = __. Wie viel ist 63 − 28?,Calculate 63 − 28 in steps. First subtract the tens: 63 − 20 = __. Then subtract the ones: 43 − 8 = __. How much is 63 − 28?,"C3.2, C2.3, C3.1b",,medium; C3.2 Schrittweises Rechnen (Auffüllen zum Zehner) — »Schrittweises Rechnen«,,ZR100,
49,Text,Rechne 67 + 28 in Schritten. Fülle zuerst bis zum nächsten Zehner auf: 67 + 3 = __. Von der 28 bleiben dann 25 übrig. Rechne jetzt: 70 + 25 = __. Wie viel ist 67 + 28?,Single,70 (67 + 3); 95 (70 + 25). Finale Antwort: 95.,Rechne 67 + 28 in Schritten. Fülle zuerst bis zum nächsten Zehner auf: 67 + 3 = __. Von der 28 bleiben dann 25 übrig. Rechne jetzt: 70 + 25 = __. Wie viel ist 67 + 28?,"Calculate 67 + 28 in steps. First fill up to the next ten: 67 + 3 = __. Of the 28, 25 then remains. Now calculate: 70 + 25 = __. How much is 67 + 28?","C3.2, C3.1a, C2.1",,hard; C3.2 Schrittweises Rechnen (Auffüllen zum Zehner) — »Schrittweises Rechnen«,,ZR100,
50,Text,"Diese Aufgabe hilft dir: 20 + 50 = 70. Rechne damit: 21 + 50 = __. Erkläre kurz, wie dir die 20 + 50 geholfen hat.",Single,71.,"Diese Aufgabe hilft dir: 20 + 50 = 70. Rechne damit: 21 + 50 = __. Erkläre kurz, wie dir die 20 + 50 geholfen hat.",This task helps you: 20 + 50 = 70. Use it to calculate: 21 + 50 = __. Briefly explain how 20 + 50 helped you.,"C3.3, C3.1a, A3.3",,"medium; C3.3 Hilfsaufgaben (Nachbaraufgaben, Ergänzen) — »Hilfsaufgaben«",,ZR100,
51,Text,"Du kennst zwei Nachbaraufgaben: 45 + 40 = 85 und 45 + 30 = 75. Rechne damit: 45 + 38 = __. Erkläre, wie du gerechnet hast.",Single,83 (85 − 2 oder 75 + 8).,"Du kennst zwei Nachbaraufgaben: 45 + 40 = 85 und 45 + 30 = 75. Rechne damit: 45 + 38 = __. Erkläre, wie du gerechnet hast.",You know two neighbouring tasks: 45 + 40 = 85 and 45 + 30 = 75. Use them to calculate: 45 + 38 = __. Explain how you calculated.,"C3.3, C3.1a, A3.3",,"hard; C3.3 Hilfsaufgaben (Nachbaraufgaben, Ergänzen) — »Hilfsaufgaben«",,ZR100,
52,Text,Rechne 37 + 38. Tipp: Die 37 und die 38 sind fast gleich groß. Rechne zuerst 38 + 38 = __ und nimm dann 1 weg. Wie viel ist 37 + 38?,Single,76; 75. Finale Antwort: 75.,Rechne 37 + 38. Tipp: Die 37 und die 38 sind fast gleich groß. Rechne zuerst 38 + 38 = __ und nimm dann 1 weg. Wie viel ist 37 + 38?,Calculate 37 + 38. Tip: 37 and 38 are almost the same size. First calculate 38 + 38 = __ and then take 1 away. How much is 37 + 38?,"C3.4a, C3.3, C1.2",,medium; C3.4 Zerlegungsstrategien im ZR100 — »Zerlegungsstrategien«,,ZR100,
53,Text,Rechne 73 − 38. Zerlege die 38 günstig: Die 38 ist fast 40. Rechne 73 − 40 = __ und rechne dann 2 dazu. Wie viel ist 73 − 38? Erkläre deinen Weg.,Single,33 (73 − 40); 35 (33 + 2). Finale Antwort: 35.,Rechne 73 − 38. Zerlege die 38 günstig: Die 38 ist fast 40. Rechne 73 − 40 = __ und rechne dann 2 dazu. Wie viel ist 73 − 38? Erkläre deinen Weg.,Calculate 73 − 38. Split the 38 conveniently: 38 is almost 40. Calculate 73 − 40 = __ and then add 2. How much is 73 − 38? Explain your way.,"C3.4b, C3.2, C2.3",,hard; C3.4 Zerlegungsstrategien im ZR100 — »Zerlegungsstrategien«,,ZR100,
54,Text,Rechne 34 + 29. [Reaktionszeiterfassung von der Anzeige bis zur Antwort.] Danach: »Wie hast du gerechnet?« Wähle einen Weg: (a) Ich habe 30 dazugerechnet und dann 1 abgezogen. (b) Ich habe zuerst die Zehner und dann die Einer gerechnet. (c) Ich habe zuerst 20 dazugerechnet und dann 9. (d) Ich habe gezählt oder nachgezählt.,Single,"63; Strategieoption (a) gilt als flexibel passend, (b) und (c) als korrekt, aber weniger angepasst, (d) als nicht flexibel.",Rechne 34 + 29. [Reaktionszeiterfassung von der Anzeige bis zur Antwort.] Danach: »Wie hast du gerechnet?« Wähle einen Weg: (a) Ich habe 30 dazugerechnet und dann 1 abgezogen. (b) Ich habe zuerst die Zehner und dann die Einer gerechnet. (c) Ich habe zuerst 20 dazugerechnet und dann 9. (d) Ich habe gezählt oder nachgezählt.,Calculate 34 + 29. Then: 'How did you calculate?' Choose a way: (a) I added 30 and then subtracted 1. (b) I calculated the tens first and then the ones. (c) I added 20 first and then 9. (d) I counted.,"C4.1, C3.1a, C2.1",,medium; C4.1 Strategieauswahl abhängig von Zahlen — »Flexibles Rechnen«,,ZR100,
55,Text,"Rechne 52 − 19. [Reaktionszeiterfassung von der Anzeige bis zur Antwort.] Danach: »Wie hast du gerechnet?« Wähle einen Weg: (a) Ich habe 20 abgezogen und 1 dazugezählt: 52 − 20 = 32, dann 32 + 1. (b) Ich habe erst die Zehner und dann die Einer abgezogen: 52 − 10 = 42, dann 42 − 9. (c) Ich habe von 19 bis 52 weitergerechnet. (d) Ich habe gezählt oder nachgezählt.",Single,"33; Option (a) gilt als flexibel passend, (b) als korrekt, aber weniger angepasst, (c) als korrektes Ergänzen, (d) als nicht flexibel.","Rechne 52 − 19. [Reaktionszeiterfassung von der Anzeige bis zur Antwort.] Danach: »Wie hast du gerechnet?« Wähle einen Weg: (a) Ich habe 20 abgezogen und 1 dazugezählt: 52 − 20 = 32, dann 32 + 1. (b) Ich habe erst die Zehner und dann die Einer abgezogen: 52 − 10 = 42, dann 42 − 9. (c) Ich habe von 19 bis 52 weitergerechnet. (d) Ich habe gezählt oder nachgezählt.","Calculate 52 − 19. Then: 'How did you calculate?' Choose a way: (a) I subtracted 20 and added 1: 52 − 20 = 32, then 32 + 1. (b) I subtracted the tens first and then the ones: 52 − 10 = 42, then 42 − 9. (c) I counted on from 19 to 52. (d) I counted.","C4.1, C3.2, C2.3",,hard; C4.1 Strategieauswahl abhängig von Zahlen — »Flexibles Rechnen«,,ZR100,
56,Text,Wir wissen: 43 + 29 = 72. Rechne damit: 72 − 29 = __. Und rechne: 72 − 43 = __. [Reaktionszeiterfassung von der Anzeige bis zur ersten Antwort.] Danach: »Wie hast du gerechnet?« (a) Ich habe die Plusaufgabe umgedreht. (b) Ich habe einzeln abgezogen. (c) Ich habe gezählt.,Single,43; 29. Option (a) gilt als flexibel passend.,Wir wissen: 43 + 29 = 72. Rechne damit: 72 − 29 = __. Und rechne: 72 − 43 = __. [Reaktionszeiterfassung von der Anzeige bis zur ersten Antwort.] Danach: »Wie hast du gerechnet?« (a) Ich habe die Plusaufgabe umgedreht. (b) Ich habe einzeln abgezogen. (c) Ich habe gezählt.,We know: 43 + 29 = 72. Use it: 72 − 29 = __. And calculate: 72 − 43 = __. Then: 'How did you calculate?' (a) I turned the addition around. (b) I subtracted step by step. (c) I counted.,"C4.2, C3.1b, C1.3",,medium; C4.2 Inverse Beziehung Addition/Subtraktion nutzen — »Flexibles Rechnen«,,ZR100,
57,Text,Rechne 83 − 47. Tipp: Nutze die Umkehraufgabe. Welche Plusaufgabe passt zu 83 − 47? Rechne: 47 + __ = 83. Wie viel ist dann 83 − 47? [Reaktionszeiterfassung von der Anzeige bis zur ersten Antwort.] Danach: »Wie hast du gerechnet?« (a) Ich habe von 47 auf 83 ergänzt. (b) Ich habe die Umkehraufgabe benutzt. (c) Ich habe schrittweise abgezogen. (d) Ich habe gezählt.,Single,47 + 36 = 83; 83 − 47 = 36. Option (a) oder (b) gilt als flexibel passend.,Rechne 83 − 47. Tipp: Nutze die Umkehraufgabe. Welche Plusaufgabe passt zu 83 − 47? Rechne: 47 + __ = 83. Wie viel ist dann 83 − 47? [Reaktionszeiterfassung von der Anzeige bis zur ersten Antwort.] Danach: »Wie hast du gerechnet?« (a) Ich habe von 47 auf 83 ergänzt. (b) Ich habe die Umkehraufgabe benutzt. (c) Ich habe schrittweise abgezogen. (d) Ich habe gezählt.,Calculate 83 − 47. Tip: use the inverse task. Which addition fits 83 − 47? Calculate: 47 + __ = 83. What is 83 − 47 then? Then: 'How did you calculate?' (a) I added on from 47 to 83. (b) I used the inverse task. (c) I subtracted step by step. (d) I counted.,"C4.2, C3.4b, C2.3",,hard; C4.2 Inverse Beziehung Addition/Subtraktion nutzen — »Flexibles Rechnen«,,ZR100,
58,Text,Beim Schwimmunterricht im Hallenbad schwimmen die Kinder Bahnen. Luna schwimmt in der ersten Übung 8 Bahnen. Nach der Pause schwimmt sie noch 5 Bahnen. Wie viele Bahnen hat Luna insgesamt geschwommen? Schreibe die passende Rechnung auf und rechne sie aus.,Single,8 + 5 = 13,Beim Schwimmunterricht im Hallenbad schwimmen die Kinder Bahnen. Luna schwimmt in der ersten Übung 8 Bahnen. Nach der Pause schwimmt sie noch 5 Bahnen. Wie viele Bahnen hat Luna insgesamt geschwommen? Schreibe die passende Rechnung auf und rechne sie aus.,In swimming class the children swim laps in the pool. In the first exercise Luna swims 8 laps. After the break she swims 5 more laps. How many laps did Luna swim in total? Write down the matching calculation and work it out.,"D1.1, C2.1, C1.1a",,medium; D1.1 Mathematisierung von Alltagskontexten,,ZR20,
