artifact_id,type,author,created,sources_cited,reviewed_by,reviewed_on,independent_of
B2.2-01,item,Claude (draft),2026-08-29,"Schipper 2009 (Kap. n.n. — folgt nach Ankunft); KMK 2022 (Kompetenzbereich »Zahlen und Operationen«), verankert in 01-construct-map.md (B2.2).",,,"Eigene Strahl-Konfiguration (0–100, Anker bei 50, Ziel bei 80, unbeschriftete Zehner-Marken) und eigener Fragesatz. Die Anker-Strategie (von 50 aus) ist eine eigene didaktische Setzung; weder Skala, Zielzahl noch Markierung werden aus einem Vorgängerformat übernommen."
B2.3-01,item,Claude (draft),2026-08-29,Moser Opitz 2013; Padberg & Benz 2021,,,Eigene nicht-standardisierte Notation 1 Z + 14 E (= 24) mit Wort-Erlaeuterung 
C1.1-01,item,Claude (draft),2026-08-29,Gaidoschik 2010; Padberg & Benz 2021,,,Eigene Wertekombination (3+4) und mündliche Einzelaufgabe mit Reaktionszeiterfassung; kein Bestandteil eines früheren Instruments. 
C1.1-02,item,Claude (draft),2026-08-29,Gaidoschik 2010; Padberg & Benz 2021,,,Eigenes Null-Ergebnis-Faktum (6-6) als mündliche Einzelaufgabe mit Reaktionszeiterfassung; eigene Formulierung. 
C1.1-03,item,Claude (draft),2026-08-29,Gaidoschik 2010; Padberg & Benz 2021,,,Eigene Komplement-zu-10-Kombination (2+8) in eigener mündlicher Fassung mit Reaktionszeiterfassung. 
C1.1-04,item,Claude (draft),2026-08-29,Gaidoschik 2010; Padberg & Benz 2021,,,Eigene Subtraktion aus der 10 (10-4) in eigener mündlicher Fassung mit Reaktionszeiterfassung. 
C1.2-01,item,Claude (draft),2026-08-29,Padberg & Benz 2021; Gaidoschik 2010,,,Eigenes Doppel (4+4) als mündliche Automatisationsaufgabe mit Reaktionszeiterfassung. 
C1.2-02,item,Claude (draft),2026-08-29,Padberg & Benz 2021; Gaidoschik 2010,,,"Eigenes Grenz-Doppel (5+5, Ergebnis 10) als mündliche Automatisationsaufgabe mit Reaktionszeiterfassung. "
C1.3-01,item,Claude (draft),2026-08-29,Gaidoschik 2010; KMK 2022,,,Eigene Halbierungsfrage (Hälfte von 6) als Zahlbeziehung formuliert; eigene Stimulusfassung. 
C1.3-02,item,Claude (draft),2026-08-29,Gaidoschik 2010; KMK 2022,,,Eigene Halbierungsfrage (Hälfte von 10) als Zahlbeziehung formuliert; eigene Stimulusfassung. 
C2.1-01,item,Claude (draft),2026-08-29,Gaidoschik 2010; Wartha 2019; Selter & Spiegel 1997,,,Eigenes ZR20-Paar (7+6) als mündliche Aufgabe mit Reaktionszeiterfassung zur Strategieerschließung. 
C2.1-02,item,Claude (draft),2026-08-29,Gaidoschik 2010; Wartha 2019; Selter & Spiegel 1997,,,Eigenes ZR20-Paar (8+5) als mündliche Aufgabe mit Reaktionszeiterfassung zur Strategieerschließung. 
C2.1-03,item,Claude (draft),2026-08-29,Gaidoschik 2010; Wartha 2019; Selter & Spiegel 1997,,,Eigenes ZR20-Paar (9+7) als mündliche Aufgabe mit Reaktionszeiterfassung zur Strategieerschließung. 
C2.2-01,item,Claude (draft),2026-08-29,Padberg & Benz 2021; Gaidoschik 2010; Selter & Spiegel 1997,,,Eigenes Stützaufgaben-Paar (8+7 über 7+7) als mündliche Aufgabe mit Reaktionszeiterfassung. 
C2.2-02,item,Claude (draft),2026-08-29,Padberg & Benz 2021; Gaidoschik 2010; Selter & Spiegel 1997,,,Eigenes Stützaufgaben-Paar (9+8 über 8+8) als mündliche Aufgabe mit Reaktionszeiterfassung. 
C2.3-01,item,Claude (draft),2026-08-29,Selter & Spiegel 1997; Gaidoschik 2010,,,Eigenes Subtraktionspaar (13-8) als mündliche Aufgabe mit Reaktionszeiterfassung zur Ergänzen-Strategie. 
C2.3-02,item,Claude (draft),2026-08-29,Selter & Spiegel 1997; Gaidoschik 2010,,,Eigenes Subtraktionspaar (12-9) als mündliche Aufgabe mit Reaktionszeiterfassung zur Ergänzen-Strategie. 
C2.3-03,item,Claude (draft),2026-08-29,Selter & Spiegel 1997; Gaidoschik 2010,,,Eigenes Subtraktionspaar (15-6) als mündliche Aufgabe mit Reaktionszeiterfassung zur Ergänzen-Strategie. 
C3.1-01,item,Claude (draft),2026-08-29,Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023,,,Eigene Zahlenwahl 34+28 mit selbst entworfener Zehner/Einer-Tabelle 
C3.1-02,item,Claude (draft),2026-08-29,Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023,,,Eigene Zahlenwahl 57-19 mit eigenem Borgen-Schritt und Begruendungsabfrage 
C3.1-03,item,Claude (draft),2026-08-29,Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023,,,Eigene Zahlenwahl 84-26 mit offener Borge-Entscheidung als Auswahl 
C3.2-01,item,Claude (draft),2026-08-29,Selter/Spiegel 1997; Schipper 2009,,,Eigene Zahlenwahl 26+35 mit eigenem Rechenleiter-Format in drei Eingabefeldern 
C3.2-02,item,Claude (draft),2026-08-29,Selter/Spiegel 1997; Schipper 2009,,,Eigene Zahlenwahl 63-28 mit eigenem Zweischritt-Format 
C3.2-03,item,Claude (draft),2026-08-29,Selter/Spiegel 1997; Schipper 2009,,,Eigene Zahlenwahl 67+28 mit eigenem Leiterformat ohne Vorgabe der Ergaenzung 
C3.3-01,item,Claude (draft),2026-08-29,Padberg & Benz 2021; Selter/Spiegel 1997,,,Eigene Zahlenwahl 20+50/21+50 mit eigener eingeblendeter Hilfsaufgabe 
C3.3-02,item,Claude (draft),2026-08-29,Padberg & Benz 2021; Selter/Spiegel 1997,,,Eigene Zwei-Stuetzaufgaben-Anordnung 45+40/45+30/45+38 
C3.4-01,item,Claude (draft),2026-08-29,Wartha 2019; Padberg & Benz 2021,,,Eigene Verdopplungs-Zerlegung 38+38/37+38 mit getrenntem Ergebnisfeld 
C3.4-02,item,Claude (draft),2026-08-29,Wartha 2019; Padberg & Benz 2021,,,Eigene 40er-Zerlegung 73-38 mit Zwischenschritt-Feld 
C4.1-01,item,Claude (draft),2026-08-29,Selter/Spiegel 1997; Gaidoschik 2010,,,Eigene Zahlenwahl 34+29 mit eigener Strategieauswahl und Reaktionszeiterfassung 
C4.1-02,item,Claude (draft),2026-08-29,Selter/Spiegel 1997; Gaidoschik 2010,,,Eigene Zahlenwahl 52-19 mit eigener Strategieauswahl und Reaktionszeiterfassung 
C4.2-01,item,Claude (draft),2026-08-29,Padberg & Benz 2021; KMK 2022,,,Eigene Umkehraufgaben-Abfrage 43+29=72 im Doppelformat 
C4.2-02,item,Claude (draft),2026-08-29,Padberg & Benz 2021; KMK 2022,,,Eigene selbst zu bildende Umkehraufgabe 83-47 
D1.1-01,item,Claude (draft),2026-08-29,"KMK 2022 (Kompetenzbereich „Zahlen und Operationen""); Rahmenlehrplan BE/BB 2023 (Teil C, Kompetenzbereich „Zahlen und Operationen""), verankert in 01-construct-map.md (D1.1).",,,"Eigene, originelle Geschichte (Schwimmunterricht: Luna schwimmt 8 + 5 Bahnen im Hallenbad) mit eigener Zahlenwahl (8 + 5) und eigener Aufforderung zur freien Produktion des Zahlensatzes. Weder Kontext, Zahlen noch Aufgabenrahmen werden aus einem Vorgängerinstrument übernommen; es ist kein klassisches Lehrbuchszenario (kein Obst, kein Bus, keine Kaufmannssituation)."
D1.2-01,item,Claude (draft),2026-08-29,"Padberg & Benz 2021 (Kap. n.n. — folgt nach Ankunft); Rahmenlehrplan BE/BB 2023 (Teil C, Kompetenzbereich „Zahlen und Operationen""), verankert in 01-construct-map.md (D1.2).",,,"Eigene, originelle Geschichte (Schulgarten: Bohnenpflanzen in Leos Beet keimen von 9 auf 9 + 4) mit eigener Zahlenwahl (9 + 4) und eigenem Antwortformat (Drei-Auswahl-Rechenaufgaben zum Ankreuzen). Weder Kontext, Zahlen, Distraktor-Set noch Fragesatz werden aus einem Vorgängerinstrument übernommen; es ist kein klassisches Lehrbuchszenario (kein Obst, kein Bus, kein Geld)."
DDA-01,item-deepdive,Claude (draft),2026-08-29,Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023,,,Zehnerschritt-Folge ab Start 47 (57–87) mit eigener Zahlenwahl; kein Bezug auf ein Vorgängerinstrument. 
DDA-02,item-deepdive,Claude (draft),2026-08-29,Gaidoschik 2010; Wartha 2019,,,Zählen über die 90 von 86 bis 94 mit eigener Zahlenwahl; kein Bezug auf ein Vorgängerinstrument. 
DDA-03,item-deepdive,Claude (draft),2026-08-29,Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023,,,Fünferschritte rückwärts 60 bis 35 mit eigener Zahlenwahl; kein Bezug auf ein Vorgängerinstrument. 
DDA-04,item-deepdive,Claude (draft),2026-08-29,Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023,,,Zehnerfeld-Belegung 5+2 mit eigener Konfiguration; kein Bezug auf ein Vorgängerinstrument. 
DDA-05,item-deepdive,Claude (draft),2026-08-29,Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023,,,Rekenrek-Belegung 5 oben und 4 unten mit eigener Konfiguration; kein Bezug auf ein Vorgängerinstrument. 
DDA-06,item-deepdive,Claude (draft),2026-08-29,Krajewski 2003/2008; KMK 2022,,,Anzahlvergleich zweier Rekenrek (8 gegen 5) mit Differenzbestimmung; kein Bezug auf ein Vorgängerinstrument. 
DDA-07,item-deepdive,Claude (draft),2026-08-29,Karner (Open Access); Padberg & Benz 2021,,,Drei Zerlegungen der Zahl 9 mit eigener Anforderung; kein Bezug auf ein Vorgängerinstrument. 
DDA-08,item-deepdive,Claude (draft),2026-08-29,Padberg & Benz 2021; Lenz & Wittmann 2023,,,Ergänzen zum Ganzen 7 aus Teil 3 mit eigener Zahlenwahl; kein Bezug auf ein Vorgängerinstrument. 
DDA-09,item-deepdive,Claude (draft),2026-08-29,Gaidoschik 2010; Padberg & Benz 2021,,,Nachbaraufgabe 5+6 über Stützaufgabe 5+5 mit eigener Wahl; kein Bezug auf ein Vorgängerinstrument. 
DDA-10,item-deepdive,Claude (draft),2026-08-29,Gaidoschik 2010; Padberg & Benz 2021,,,Doppeltes und Hälfte von 6/12 als Umkehrbeziehung; kein Bezug auf ein Vorgängerinstrument. 
DDB-01,item-deepdive,Claude (draft),2026-08-29,Schipper 2009; Moser Opitz 2013,,,Bündelung 5 Zehner und 6 Einer mit eigener Anordnung; kein Bezug auf ein Vorgängerinstrument. 
DDB-02,item-deepdive,Claude (draft),2026-08-29,Schipper 2009; Rahmenlehrplan BE/BB 2023,,,Entbündelung 2 Z + 5 E zu 1 Z + 15 E als Umformung; kein Bezug auf ein Vorgängerinstrument. 
DDB-03,item-deepdive,Claude (draft),2026-08-29,Wartha 2019; Moser Opitz 2013,,,Zehner und Einer der Zahl 60 mit Nullstelle; kein Bezug auf ein Vorgängerinstrument. 
DDB-04,item-deepdive,Claude (draft),2026-08-29,Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023,,,Stellenwerttafel-Lesen (5 Z und 8 E zu 58) als eigene Leserichtung; kein Bezug auf ein Vorgängerinstrument. 
DDB-05,item-deepdive,Claude (draft),2026-08-29,Schipper 2009; KMK 2022,,,Zahlenstrahl 0–100 mit Markierung der 75; eigene Konfiguration; kein Bezug auf ein Vorgängerinstrument. 
DDB-06,item-deepdive,Claude (draft),2026-08-29,Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023,,,Auditives Zahlendiktat in eigener Form (Lehrkraft liest einmal vor) mit Zahl 70; kein Bezug auf ein Vorgängerinstrument. 
DDC-01,item-deepdive,Claude (draft),2026-08-29,Gaidoschik 2010; Wartha 2019; Selter & Spiegel 1997,,,Zerlegungsaufgabe 9+5 mit eigener Zahlenwahl und Reaktionszeiterfassung; kein Bezug auf ein Vorgängerinstrument. 
DDC-02,item-deepdive,Claude (draft),2026-08-29,Selter & Spiegel 1997; Gaidoschik 2010,,,Ergänzungsaufgabe 14−8 mit eigener Zahlenwahl und Reaktionszeiterfassung; kein Bezug auf ein Vorgängerinstrument. 
DDC-03,item-deepdive,Claude (draft),2026-08-29,Padberg & Benz 2021; Gaidoschik 2010,,,Stützaufgabe 7+8 über Verdopplung mit eigener Zahlenwahl; kein Bezug auf ein Vorgängerinstrument. 
DDC-04,item-deepdive,Claude (draft),2026-08-29,Selter & Spiegel 1997; Gaidoschik 2010,,,Ergänzungsaufgabe 16−9 mit eigener Zahlenwahl und Reaktionszeiterfassung; kein Bezug auf ein Vorgängerinstrument. 
DDC-05,item-deepdive,Claude (draft),2026-08-29,Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023,,,Stellenweise Subtraktion 48−26 ohne Übertrag; eigene Zahlenwahl; kein Bezug auf ein Vorgängerinstrument. 
DDC-06,item-deepdive,Claude (draft),2026-08-29,Selter & Spiegel 1997; Schipper 2009,,,Schrittweise Addition 37+8 über die 40 mit eigener Zahlenwahl; kein Bezug auf ein Vorgängerinstrument. 
DDC-07,item-deepdive,Claude (draft),2026-08-29,Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023,,,Stellenweise Addition 38+27 mit Übertrag; eigene Zahlenwahl; kein Bezug auf ein Vorgängerinstrument. 
DDC-08,item-deepdive,Claude (draft),2026-08-29,Selter & Spiegel 1997; Schipper 2009,,,Schrittweise Subtraktion 62−7 über die 60 mit eigener Zahlenwahl; kein Bezug auf ein Vorgängerinstrument. 
DDC-09,item-deepdive,Claude (draft),2026-08-29,Padberg & Benz 2021; Selter & Spiegel 1997,,,Hilfsaufgabe 36+39 über 36+40 mit eigener Zahlenwahl; kein Bezug auf ein Vorgängerinstrument. 
DDC-10,item-deepdive,Claude (draft),2026-08-29,Wartha 2019; Padberg & Benz 2021,,,Zerlegungsaufgabe 54−28 über Entbündelung; eigene Zahlenwahl; kein Bezug auf ein Vorgängerinstrument. 
DDD-01,item-deepdive,Claude (draft),2026-08-29,KMK 2022; Rahmenlehrplan BE/BB 2023,,,Mathematisierung Schulfest/Schminken (14−6) mit eigenem Kontext; kein Bezug auf ein Vorgängerinstrument. 
DDD-02,item-deepdive,Claude (draft),2026-08-29,KMK 2022; Rahmenlehrplan BE/BB 2023,,,Mathematisierung Garderobe (8−3) mit eigenem Kontext; kein Bezug auf ein Vorgängerinstrument. 
DDD-03,item-deepdive,Claude (draft),2026-08-29,KMK 2022; Rahmenlehrplan BE/BB 2023,,,Mathematisierung Fahrradständer (9+4) mit eigenem Kontext; kein Bezug auf ein Vorgängerinstrument. 
DDD-04,item-deepdive,Claude (draft),2026-08-29,Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023,,,Operationserkennung Klettergerüst/Schaukel (6+5) mit eigenem Kontext; kein Bezug auf ein Vorgängerinstrument. 
DDD-05,item-deepdive,Claude (draft),2026-08-29,Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023,,,Operationserkennung Klassenbücherei (12−4) mit eigenem Kontext; kein Bezug auf ein Vorgängerinstrument. 
DDD-06,item-deepdive,Claude (draft),2026-08-29,Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023,,,Operationserkennung Turnbeutel (9+7) mit eigenem Kontext; kein Bezug auf ein Vorgängerinstrument.
A1.1a,skill,Claude (draft),2026-08-29,Padberg & Benz 2021; KMK 2022,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
A1.1b,skill,Claude (draft),2026-08-29,Padberg & Benz 2021; KMK 2022,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
A1.2a,skill,Claude (draft),2026-08-29,Wartha 2019; Padberg & Benz 2021,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
A1.2b,skill,Claude (draft),2026-08-29,Wartha 2019; Padberg & Benz 2021,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
A1.3,skill,Claude (draft),2026-08-29,Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
A1.4,skill,Claude (draft),2026-08-29,Wartha 2019; Padberg & Benz 2021,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
A1.5,skill,Claude (draft),2026-08-29,Gaidoschik 2010; Wartha 2019,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
A2.1,skill,Claude (draft),2026-08-29,Krajewski 2003/2008; Krajewski & Schneider 2009,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
A2.2,skill,Claude (draft),2026-08-29,Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
A2.3,skill,Claude (draft),2026-08-29,Krajewski 2003/2008; KMK 2022,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
A3.1,skill,Claude (draft),2026-08-29,Padberg & Benz 2021; Lenz & Wittmann 2023,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
A3.2,skill,Claude (draft),2026-08-29,"Karner, Zahlzerlegungen im ZR10 (OA); Padberg & Benz 2021",,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
A3.3,skill,Claude (draft),2026-08-29,Gaidoschik 2010; Padberg & Benz 2021,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
B1.1,skill,Claude (draft),2026-08-29,Wartha 2019; Moser Opitz 2013,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
B1.2,skill,Claude (draft),2026-08-29,Schipper 2009; Moser Opitz 2013,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
B1.3,skill,Claude (draft),2026-08-29,Schipper 2009; Rahmenlehrplan BE/BB 2023,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
B2.1,skill,Claude (draft),2026-08-29,Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
B2.2,skill,Claude (draft),2026-08-29,Schipper 2009; KMK 2022,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
B2.3,skill,Claude (draft),2026-08-29,Moser Opitz 2013; Padberg & Benz 2021,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
C1.1a,skill,Claude (draft),2026-08-29,Gaidoschik 2010; Padberg & Benz 2021,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
C1.1b,skill,Claude (draft),2026-08-29,Gaidoschik 2010; Padberg & Benz 2021,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
C1.2,skill,Claude (draft),2026-08-29,Padberg & Benz 2021; Gaidoschik 2010,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
C1.3,skill,Claude (draft),2026-08-29,Gaidoschik 2010; KMK 2022,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
C2.1,skill,Claude (draft),2026-08-29,Gaidoschik 2010; Wartha 2019,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
C2.2,skill,Claude (draft),2026-08-29,Padberg & Benz 2021; Gaidoschik 2010,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
C2.3,skill,Claude (draft),2026-08-29,Selter/Spiegel 1997; Gaidoschik 2010,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
C3.1a,skill,Claude (draft),2026-08-29,Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
C3.1b,skill,Claude (draft),2026-08-29,Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
C3.2,skill,Claude (draft),2026-08-29,Selter/Spiegel 1997; Schipper 2009,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
C3.3,skill,Claude (draft),2026-08-29,Padberg & Benz 2021; Selter/Spiegel 1997,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
C3.4a,skill,Claude (draft),2026-08-29,Wartha 2019; Padberg & Benz 2021,,,Skill aus der Konstruktkarte (01-construct-map.md) abgeleitet; keine Übernahme von Beschreibungen eines Vorgänger-Katalogs.
